,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NOV,"8,410","9,219","9,536","10,528","10,805"
Dividend,NOV,0.20,0.20,0.16,-,-
Dividend Yield (in %),NOV,1.06 %,1.07 %,1.04 %,-,-
EPS,NOV,1.31,1.65,1.89,2.13,2.19
P/E Ratio,NOV,11.70,9.29,8.11,7.20,7.00
EBIT(In $M),NOV,667,888,974,774,-
EBITDA(In $M),NOV,965,"1,193","1,302","1,548","1,613"
Net Profit(In $M),NOV,510,660,787,878,917
Net Profit Adjusted(In $M),NOV,508,652,787,878,917
Pre-Tax Profit(In $M),NOV,662,883,984,-,-
Net Profit (Adjusted)(In $M),NOV,647,850,"1,091",-,-
EPS (Non-GAAP) ex. SOE(In $),NOV,1.31,1.65,1.89,2.13,2.19
EPS (GAAP)(In $),NOV,1.33,1.63,2.00,2.13,2.19
Gross Income(In $M),NOV,"1,935","2,160","2,408",-,-
Cash Flow from Investing(In $M),NOV,-272,-291,-320,-,-
Cash Flow from Operations(In $M),NOV,476,763,902,"1,102","1,222"
Cash Flow from Financing(In $M),NOV,-101,-88,-,-,-
Cash Flow per Share(In $),NOV,1.68,2.28,2.57,-,-
Free Cash Flow(In $M),NOV,202,425,574,733,844
Free Cash Flow per Share(In $),NOV,0.58,0.82,-,-,-
Book Value per Share(In $),NOV,14.05,15.59,17.56,-,-
Net Debt(In $M),NOV,603,140,-355,"-1,199","-2,042"
Research & Development Exp.(In $M),NOV,-,-,-,-,-
Capital Expenditure(In $M),NOV,267,292,328,368,378
"Selling, General & Admin. Exp.(In $M)",NOV,"1,134","1,183","1,446",-,-
Shareholder’s Equity(In $M),NOV,"5,608","6,180","7,041",-,-
Total Assets(In $M),NOV,"10,241","10,888","10,530",-,-
