,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30,ticker
Net income(figures in $M),4666.0,3231.0,2303.0,1965.0,2306.0,EMR
Depreciation & amortisation(figures in $M),1121.0,1039.0,969.0,854.0,822.0,EMR
Stock-based compensation(figures in $M),212.0,144.0,224.0,110.0,120.0,EMR
Change in working capital(figures in $M),-679.0,-515.0,203.0,148.0,-150.0,EMR
Inventory(figures in $M),-485.0,-469.0,-126.0,-6.0,-87.0,EMR
Accounts payable(figures in $M),79.0,122.0,370.0,-196.0,-37.0,EMR
Other working capital(figures in $M),2300.0,2391.0,2994.0,2545.0,2412.0,EMR
Other non-cash items(figures in $M),-88.0,4.0,-135.0,-20.0,6.0,EMR
Net cash provided by operating activities(figures in $M),2817.0,2922.0,3575.0,3083.0,3006.0,EMR
"Investments in property, plant and equipment(figures in $M)",-517.0,-531.0,-581.0,-538.0,-594.0,EMR
"Acquisitions, net(figures in $M)",-5663.0,-5702.0,-1611.0,-126.0,-469.0,EMR
Other investing activities(figures in $M),-166.0,-140.0,38.0,-76.0,-125.0,EMR
Net cash used for investing activities(figures in $M),-2733.0,-5334.0,-2120.0,-740.0,-1174.0,EMR
Debt repayment(figures in $M),-1195.0,-1687.0,-883.0,-1636.0,-656.0,EMR
Common stock repurchased(figures in $M),-2247.0,-500.0,-500.0,-942.0,-1250.0,EMR
Dividends paid(figures in $M),-1222.0,-1223.0,-1210.0,-1209.0,-1209.0,EMR
Other financing activities(figures in $M),17.0,80.0,100.0,2.0,39.0,EMR
Net cash used provided by (used for) financing activities(figures in $M),-2448.0,2048.0,-2422.0,-509.0,-1391.0,EMR
Net change in cash(figures in $M),-2455.0,-550.0,-961.0,1821.0,401.0,EMR
Cash at beginning of period(figures in $M),4726.0,2354.0,3315.0,1494.0,1093.0,EMR
Cash at end of period(figures in $M),2362.0,1804.0,2354.0,3315.0,1494.0,EMR
Operating cash flow(figures in $M),2817.0,2922.0,3575.0,3083.0,3006.0,EMR
Capital expenditure(figures in $M),-517.0,-531.0,-581.0,-538.0,-594.0,EMR
Free cash flow(figures in $M),2300.0,2391.0,2994.0,2545.0,2412.0,EMR
