,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),EMR,19846.0,19629.0,18236.0,16785.0,18372.0
Cost of revenue(figures in $M),EMR,11453.0,11441.0,10673.0,9776.0,10557.0
Gross profit(figures in $M),EMR,8393.0,8188.0,7563.0,7009.0,7815.0
Selling general and administrative(figures in $M),EMR,4429.0,4248.0,4179.0,3986.0,4457.0
Total operating expenses(figures in $M),EMR,4829.0,4605.0,4479.0,3986.0,4695.0
Operating income or loss(figures in $M),EMR,3564.0,3583.0,3084.0,3023.0,3120.0
Interest expense(figures in $M),EMR,254.0,193.0,154.0,156.0,174.0
Total other income/expenses net(figures in $M),EMR,203.0,695.0,-18.0,-532.0,-87.0
Income before tax(figures in $M),EMR,3565.0,4085.0,2912.0,2335.0,2859.0
Income tax expense(figures in $M),EMR,757.0,855.0,585.0,345.0,531.0
Income from continuing operations(figures in $M),EMR,2808.0,3230.0,2327.0,1990.0,2328.0
Net income(figures in $M),EMR,4666.0,3231.0,2303.0,1965.0,2306.0
Net income available to common shareholders(figures in $M),EMR,4666.0,3231.0,2303.0,1965.0,2306.0
Basic EPS(figures in $M),EMR,,5.4400000000000004e-06,3.85e-06,3.2599999999999997e-06,3.74e-06
Diluted EPS(figures in $M),EMR,,5.41e-06,3.82e-06,3.2400000000000003e-06,3.71e-06
Basic average shares(figures in $M),EMR,,592.9,598.1,602.9,616.2
Diluted average shares(figures in $M),EMR,,596.3,601.8,606.6,620.6
EBITDA(figures in $M),EMR,,5317.0,4035.0,3345.0,3855.0
