,ticker,2023,2024,2025,2026
Revenue(In $M),PNC,"22,182","22,335","23,179",-
Dividend,PNC,6.23,6.57,6.71,-
Dividend Yield (in %),PNC,4.79 %,5.13 %,5.19 %,-
EPS,PNC,13.90,13.72,15.11,15.25
P/E Ratio,PNC,8.20,8.31,7.55,7.48
EBIT(In $M),PNC,"8,730","8,591","7,810",-
EBITDA(In $M),PNC,-,-,-,-
Net Profit(In $M),PNC,"5,666","5,416","5,840",-
Net Profit Adjusted(In $M),PNC,"5,755","5,509","6,084",-
Pre-Tax Profit(In $M),PNC,"7,340","7,038","7,680",-
Net Profit (Adjusted)(In $M),PNC,"7,315","6,909","7,255",-
EPS (Non-GAAP) ex. SOE(In $),PNC,13.85,13.45,15.02,-
EPS (GAAP)(In $),PNC,13.90,13.72,15.11,15.25
Gross Income(In $M),PNC,-,-,-,-
Cash Flow from Investing(In $M),PNC,-,-,-,-
Cash Flow from Operations(In $M),PNC,-,-,-,-
Cash Flow from Financing(In $M),PNC,-,-,-,-
Cash Flow per Share(In $),PNC,-,-,-,-
Free Cash Flow(In $M),PNC,-,-,-,-
Free Cash Flow per Share(In $),PNC,-,-,-,-
Book Value per Share(In $),PNC,111.79,120.64,122.21,-
Net Debt(In $M),PNC,-,-,-,-
Research & Development Exp.(In $M),PNC,-,-,-,-
Capital Expenditure(In $M),PNC,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",PNC,-,-,-,-
Shareholder’s Equity(In $M),PNC,"48,796","51,891",-,-
Total Assets(In $M),PNC,"573,227","589,880",-,-
