,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),6041.0,6041.0,5674.0,7517.0,5369.0,PNC
Depreciation & amortisation(figures in $M),651.0,651.0,1773.0,1497.0,1315.0,PNC
Deferred income taxes(figures in $M),351.0,351.0,178.0,-2239.0,303.0,PNC
Change in working capital(figures in $M),653.0,653.0,575.0,203.0,426.0,PNC
Other working capital(figures in $M),9083.0,9083.0,7214.0,4659.0,7363.0,PNC
Other non-cash items(figures in $M),831.0,831.0,-194.0,684.0,-341.0,PNC
Net cash provided by operating activities(figures in $M),9083.0,9083.0,7214.0,4659.0,7363.0,PNC
"Acquisitions, net(figures in $M)",0.0,0.0,-10511.0,0.0,0.0,PNC
Purchases of investments(figures in $M),-41005.0,-41005.0,-85583.0,-45409.0,-25490.0,PNC
Sales/maturities of investments(figures in $M),22576.0,22576.0,57151.0,44812.0,23077.0,PNC
Other investing activities(figures in $M),-3045.0,-3045.0,-3632.0,-1264.0,-705.0,PNC
Net cash used for investing activities(figures in $M),-13428.0,-13428.0,-2795.0,-51122.0,-24990.0,PNC
Debt repayment(figures in $M),-8057.0,-8057.0,-10503.0,-31587.0,-29969.0,PNC
Common stock issued(figures in $M),68.0,68.0,66.0,65.0,90.0,PNC
Common stock repurchased(figures in $M),-5231.0,-5231.0,-1079.0,-2104.0,-3578.0,PNC
Dividends paid(figures in $M),-2692.0,-2692.0,-2289.0,-2209.0,-2131.0,PNC
Net cash used provided by (used for) financing activities(figures in $M),3384.0,3384.0,-3432.0,48419.0,17080.0,PNC
Net change in cash(figures in $M),-961.0,-961.0,987.0,1956.0,-547.0,PNC
Cash at beginning of period(figures in $M),8004.0,8004.0,7017.0,5061.0,5608.0,PNC
Cash at end of period(figures in $M),7043.0,7043.0,8004.0,7017.0,5061.0,PNC
Operating cash flow(figures in $M),9083.0,9083.0,7214.0,4659.0,7363.0,PNC
Free cash flow(figures in $M),9083.0,9083.0,7214.0,4659.0,7363.0,PNC
