,ticker,2023,2024,2025,2026
Revenue(In $M),UPS,"97,058","100,908","104,520","112,768"
Dividend,UPS,6.32,6.44,6.97,7.62
Dividend Yield (in %),UPS,3.42 %,3.48 %,3.88 %,4.11 %
EPS,UPS,10.79,11.84,12.55,14.53
P/E Ratio,UPS,16.07,14.64,13.81,11.93
EBIT(In $M),UPS,"12,249","13,257","13,792","14,830"
EBITDA(In $M),UPS,"15,639","16,765","17,318","18,412"
Net Profit(In $M),UPS,"9,253","10,007","10,448","11,444"
Net Profit Adjusted(In $M),UPS,"9,253","10,007","10,448","11,444"
Pre-Tax Profit(In $M),UPS,"12,085","13,055","13,581","15,384"
Net Profit (Adjusted)(In $M),UPS,"12,295","13,426","14,654",-
EPS (Non-GAAP) ex. SOE(In $),UPS,10.79,11.84,12.55,14.53
EPS (GAAP)(In $),UPS,10.80,11.98,12.65,-
Gross Income(In $M),UPS,"71,191","74,338",-,-
Cash Flow from Investing(In $M),UPS,"-6,084","-5,361","-5,818","-5,502"
Cash Flow from Operations(In $M),UPS,"12,633","14,115","14,987","17,005"
Cash Flow from Financing(In $M),UPS,"-8,096","-9,153","-9,159","-12,098"
Cash Flow per Share(In $),UPS,14.64,15.89,15.58,-
Free Cash Flow(In $M),UPS,"7,258","8,865","8,940","10,078"
Free Cash Flow per Share(In $),UPS,8.82,10.78,11.24,-
Book Value per Share(In $),UPS,25.35,28.95,32.91,-
Net Debt(In $M),UPS,"14,392","15,115","14,722",-
Research & Development Exp.(In $M),UPS,-,-,-,-
Capital Expenditure(In $M),UPS,"5,155","4,913","5,599","6,400"
"Selling, General & Admin. Exp.(In $M)",UPS,"49,458","52,006",-,-
Shareholder’s Equity(In $M),UPS,"21,522","23,946","27,034","24,421"
Total Assets(In $M),UPS,"72,872","75,390","79,614","81,995"
