,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),UPS,100338.0,100338.0,97287.0,84628.0,74094.0
Cost of revenue(figures in $M),UPS,78973.0,87244.0,84477.0,76814.0,66296.0
Gross profit(figures in $M),UPS,21365.0,13094.0,12810.0,7814.0,7798.0
Selling general and administrative(figures in $M),UPS,,,46707.0,,
Total operating expenses(figures in $M),UPS,8271.0,87244.0,46707.0,7470.0,5919.0
Operating income or loss(figures in $M),UPS,13094.0,-74150.0,12810.0,7814.0,7798.0
Interest expense(figures in $M),UPS,704.0,704.0,694.0,701.0,653.0
Total other income/expenses net(figures in $M),UPS,2435.0,2435.0,4479.0,-5139.0,-1493.0
Income before tax(figures in $M),UPS,14825.0,14825.0,16595.0,1974.0,5652.0
Income tax expense(figures in $M),UPS,3277.0,3277.0,3705.0,547.0,1212.0
Income from continuing operations(figures in $M),UPS,11548.0,11548.0,12890.0,1427.0,4440.0
Net income(figures in $M),UPS,11548.0,11548.0,12890.0,1427.0,4440.0
Net income available to common shareholders(figures in $M),UPS,11548.0,11548.0,12890.0,1427.0,4440.0
Basic EPS(figures in $M),UPS,,,1.475e-05,1.55e-06,5.14e-06
Diluted EPS(figures in $M),UPS,,,1.468e-05,1.54e-06,5.11e-06
Basic average shares(figures in $M),UPS,,,874.0,867.0,864.0
Diluted average shares(figures in $M),UPS,,,878.0,871.0,869.0
EBITDA(figures in $M),UPS,,18717.0,20242.0,5373.0,6305.0
