,ticker,2023,2024,2025
Revenue(In $M),HRL,"12,536","12,893","13,249"
Dividend,HRL,1.09,1.16,1.21
Dividend Yield (in %),HRL,2.78 %,2.97 %,3.08 %
EPS,HRL,1.72,1.88,1.96
P/E Ratio,HRL,23.74,21.82,20.88
EBIT(In $M),HRL,"1,275","1,374","1,420"
EBITDA(In $M),HRL,"1,552","1,658","1,702"
Net Profit(In $M),HRL,951,"1,036","1,089"
Net Profit Adjusted(In $M),HRL,957,"1,044","1,093"
Pre-Tax Profit(In $M),HRL,"1,223","1,328","1,393"
Net Profit (Adjusted)(In $M),HRL,"1,217","1,321","1,369"
EPS (Non-GAAP) ex. SOE(In $),HRL,1.72,1.88,1.96
EPS (GAAP)(In $),HRL,1.73,1.90,2.00
Gross Income(In $M),HRL,"2,160","2,292","2,298"
Cash Flow from Investing(In $M),HRL,-766,-310,-310
Cash Flow from Operations(In $M),HRL,"1,075","1,328","1,341"
Cash Flow from Financing(In $M),HRL,-610,"-1,600",-692
Cash Flow per Share(In $),HRL,2.00,2.33,2.43
Free Cash Flow(In $M),HRL,772,"1,055","1,059"
Free Cash Flow per Share(In $),HRL,-,-,-
Book Value per Share(In $),HRL,14.42,15.30,16.07
Net Debt(In $M),HRL,"2,730","2,335","2,188"
Research & Development Exp.(In $M),HRL,-,-,-
Capital Expenditure(In $M),HRL,347,310,310
"Selling, General & Admin. Exp.(In $M)",HRL,835,855,775
Shareholder’s Equity(In $M),HRL,"7,921","8,429","8,857"
Total Assets(In $M),HRL,"13,705","13,272","13,722"
