,ticker,ttm,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total revenue(figures in $M),HRL,12385.44,12458.806,11386.189,9608.462,9497.317
Cost of revenue(figures in $M),HRL,10263.553,10294.12,9458.283,7782.498,7612.669
Gross profit(figures in $M),HRL,2121.886,2164.686,1927.906,1825.963,1884.648
Selling general and administrative(figures in $M),HRL,875.349,879.265,853.071,761.315,727.584
Total operating expenses(figures in $M),HRL,875.349,879.265,853.071,761.315,727.584
Operating income or loss(figures in $M),HRL,1246.537,1285.421,1074.835,1064.648,1157.064
Interest expense(figures in $M),HRL,66.222,62.515,43.307,21.069,18.07
Total other income/expenses net(figures in $M),HRL,35.846,27.185,47.763,35.572,39.201
Income before tax(figures in $M),HRL,1250.4,1278.103,1126.17,1114.747,1209.715
Income tax expense(figures in $M),HRL,272.234,277.877,217.029,206.393,230.567
Income from continuing operations(figures in $M),HRL,978.167,1000.226,909.14,908.354,979.148
Net income(figures in $M),HRL,978.135,999.987,908.839,908.082,978.806
Net income available to common shareholders(figures in $M),HRL,978.135,999.987,908.839,908.082,978.806
Basic EPS(figures in $M),HRL,,1.8400000000000002e-06,1.68e-06,1.69e-06,1.83e-06
Diluted EPS(figures in $M),HRL,,1.8200000000000002e-06,1.66e-06,1.66e-06,1.8000000000000001e-06
Basic average shares(figures in $M),HRL,,544.918,541.114,538.007,534.578
Diluted average shares(figures in $M),HRL,,549.566,547.58,546.592,545.232
EBITDA(figures in $M),HRL,,1603.371,1397.883,1341.597,1392.994
