,ticker,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Cash and cash equivalents(figures in $M),HRL,982.107,613.53,1714.309,672.901
Other short-term investments(figures in $M),HRL,16.149,21.162,17.338,14.736
Total cash(figures in $M),HRL,998.256,634.692,1731.647,687.637
Net receivables(figures in $M),HRL,867.593,895.719,702.419,574.396
Inventory(figures in $M),HRL,1716.059,1369.198,1072.762,1042.362
Other current assets(figures in $M),HRL,-0.001,14.943,12.437,14.457
Total current assets(figures in $M),HRL,3637.125,2947.816,3579.063,2361.413
"Gross property, plant and equipment(figures in $M)",HRL,4325.464,4136.532,3767.455,3355.328
Accumulated depreciation(figures in $M),HRL,-2184.319,-2027.414,-1869.233,-1726.217
"Net property, plant and equipment(figures in $M)",HRL,2141.146,2109.117,1898.222,1629.111
Equity and other investments(figures in $M),HRL,271.058,299.019,308.372,289.157
Goodwill(figures in $M),HRL,4925.829,4929.102,2612.727,2481.645
Intangible assets(figures in $M),HRL,1803.027,1822.273,1076.285,1033.862
Other long-term assets(figures in $M),HRL,283.169,299.907,250.382,177.901
Total non-current assets(figures in $M),HRL,9669.795,9748.514,6329.22,5747.591
Total assets(figures in $M),HRL,13306.919,12696.329,9908.282,8109.004
Current debt(figures in $M),HRL,8.796,8.756,258.691,0.0
Accounts payable(figures in $M),HRL,816.604,793.31,644.609,590.033
Accrued liabilities(figures in $M),HRL,335.869,320.741,300.27,271.021
Total current liabilities(figures in $M),HRL,1473.266,1415.654,1503.965,1105.049
Long-term debt(figures in $M),HRL,3290.549,3315.147,1044.936,250.0
Deferred tax liabilities(figures in $M),HRL,475.212,278.183,218.779,176.574
Other long-term liabilities(figures in $M),HRL,141.841,162.622,157.398,115.356
Total non-current liabilities(figures in $M),HRL,4293.434,4302.314,1973.991,1078.42
Total liabilities(figures in $M),HRL,5766.7,5717.968,3477.956,2183.469
Common stock(figures in $M),HRL,8.002,7.946,7.909,7.83
Retained earnings(figures in $M),HRL,7313.374,6881.87,6523.335,6128.207
Accumulated other comprehensive income(figures in $M),HRL,-255.561,-277.269,-395.25,-399.5
Total stockholders' equity(figures in $M),HRL,7540.219,6978.361,6430.326,5925.535
Total liabilities and stockholders' equity(figures in $M),HRL,13306.919,12696.329,9908.282,8109.004
