,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PEG,"9,957","10,159","10,702","11,325","9,867"
Dividend,PEG,2.28,2.41,2.52,2.64,2.73
Dividend Yield (in %),PEG,3.93 %,4.15 %,4.35 %,4.53 %,4.70 %
EPS,PEG,3.44,3.69,4.05,4.23,4.45
P/E Ratio,PEG,18.41,17.17,15.65,14.97,14.24
EBIT(In $M),PEG,"2,605","2,804","3,168","3,242","3,505"
EBITDA(In $M),PEG,"3,886","4,077",-,"4,420","4,513"
Net Profit(In $M),PEG,"1,720","1,840","2,024","2,113","2,211"
Net Profit Adjusted(In $M),PEG,"1,720","1,840","2,024","2,113","2,211"
Pre-Tax Profit(In $M),PEG,"2,202","2,299","2,520","2,559","2,713"
Net Profit (Adjusted)(In $M),PEG,"2,251","2,455","2,679",-,-
EPS (Non-GAAP) ex. SOE(In $),PEG,3.44,3.69,4.05,4.23,4.45
EPS (GAAP)(In $),PEG,3.45,3.69,4.15,4.25,4.40
Gross Income(In $M),PEG,"6,828","7,189","7,519",-,-
Cash Flow from Investing(In $M),PEG,"-3,445","-3,262","-3,312","-3,095","-3,095"
Cash Flow from Operations(In $M),PEG,"3,234","3,412","3,537","3,479","3,617"
Cash Flow from Financing(In $M),PEG,202,-129,-397,-209,-663
Cash Flow per Share(In $),PEG,6.71,7.23,7.53,7.44,7.75
Free Cash Flow(In $M),PEG,-158,523,421,-123,-
Free Cash Flow per Share(In $),PEG,-1.11,0.03,0.28,-0.06,0.06
Book Value per Share(In $),PEG,30.30,31.56,31.44,-,-
Net Debt(In $M),PEG,"20,198","21,300","23,324","24,975","26,130"
Research & Development Exp.(In $M),PEG,-,-,-,-,-
Capital Expenditure(In $M),PEG,"3,299","3,009","3,018","3,064","2,667"
"Selling, General & Admin. Exp.(In $M)",PEG,"3,024","3,033","3,042",-,-
Shareholder’s Equity(In $M),PEG,"15,480","16,634","17,755","18,840","21,860"
Total Assets(In $M),PEG,"50,428","52,345","54,406","56,836","58,697"
