,2022,2021,2020,2019,2018,ticker
Current ratio,1.506,1.524,0.653,1.069,0.973,PSA
Quick ratio,1.506,1.524,0.653,1.069,0.973,PSA
Cash ratio,1.506,1.524,0.653,1.069,0.973,PSA
Days of sales outstanding,0,0,0,0,0,PSA
Days of inventory outstanding,0,0,0,0,0,PSA
Operating cycle,0,0,0,0,0,PSA
Days of payables outstanding,0,0,0,0,0,PSA
Cash conversion cycle,0,0,0,0,0,PSA
Gross profit margin,0.748,0.730,0.702,0.720,0.731,PSA
Operating profit margin,0.544,0.564,0.519,0.549,0.513,PSA
Pretax profit margin,1.044,0.574,0.467,0.536,0.623,PSA
Net profit margin,1.573,0.572,0.466,0.534,0.621,PSA
Effective tax rate,-0.507,-0.061,0.074,-0.002,0,PSA
Return on assets,0.375,0.112,0.115,0.134,0.157,PSA
Return on equity,0.653,0.209,0.159,0.168,0.188,PSA
Return on capital employed,0.133,0.114,0.133,0.142,0.134,PSA
Net income per EBT,1.507,0.997,0.997,0.997,0.996,PSA
Ebt per ebit,1.920,1.018,0.899,0.976,1.216,PSA
Ebit per revenue,0.544,0.564,0.519,0.549,0.513,PSA
Debt ratio,0.421,0.458,0.274,0.201,0.163,PSA
Debt equity ratio,0.682,0.801,0.297,0.210,0.155,PSA
Long term debt to capitalization,0.405,0.445,0.229,0.173,0.134,PSA
Total debt to capitalization,0.405,0.445,0.229,0.173,0.134,PSA
Interest coverage,16.681,21.206,26.899,34.248,43.452,PSA
Cash flow to debt ratio,0.454,0.340,0.803,1.087,1.460,PSA
Company equity multiplier,1.742,1.862,1.381,1.254,1.198,PSA
Receivables turnover,0,0,0,0,0,PSA
Payables turnover,0,0,0,0,0,PSA
Inventory turnover,0,0,0,0,0,PSA
Fixed asset turnover,11.212,12.536,15.499,20.057,9.653,PSA
Asset turnover,0.238,0.197,0.247,0.250,0.252,PSA
Operating cash flow per share,17.786,14.546,11.708,11.863,11.850,PSA
Free cash flow per share,15.163,13.001,10.733,10.789,9.097,PSA
Cash per share,4.424,4.201,1.476,2.351,2.076,PSA
Payout ratio,0.594,0.813,1.184,1.058,0.943,PSA
Operating cash flow sales ratio,0.745,0.745,0.701,0.726,0.748,PSA
Free cash flow operating cash flow ratio,0.853,0.894,0.917,0.909,0.768,PSA
Cash flow coverage ratios,0.454,0.340,0.803,1.087,1.460,PSA
Short term coverage ratios,0,0,0,0,0,PSA
Capital expenditure coverage ratio,-6.780,-9.412,-12.017,-11.038,-4.305,PSA
Dividend paid and capex coverage ratio,0.904,1.929,1.422,1.455,1.818,PSA
Dividend payout ratio,0.594,0.813,1.184,1.058,0.943,PSA
Price book value ratio,4.875,7.016,4.708,4.095,3.861,PSA
Price to book ratio,4.875,7.016,4.708,4.095,3.861,PSA
Price to sales ratio,11.742,19.174,13.823,13.038,12.785,PSA
Price earnings ratio,7.465,33.531,29.690,24.410,20.580,PSA
Price to free cash flows ratio,18.479,28.810,21.515,19.739,22.250,PSA
Price to operating cash flows ratio,15.753,25.749,19.725,17.951,17.081,PSA
Price cash flow ratio,15.753,25.749,19.725,17.951,17.081,PSA
Price earnings to growth ratio,0.027,0.583,-2.146,-1.658,0.767,PSA
Price sales ratio,11.742,19.174,13.823,13.038,12.785,PSA
Dividend yield,0.080,0.024,0.040,0.043,0.046,PSA
Enterprise value multiple,17.457,27.379,20.599,18.597,16.283,PSA
Price fair value,4.875,7.016,4.708,4.095,3.861,PSA
