,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PSA,4182.163,4182.163,3415.824,2915.068,2846.823
Cost of revenue(figures in $M),PSA,1052.907,1052.907,920.598,867.462,796.783
Gross profit(figures in $M),PSA,3129.256,3129.256,2495.226,2047.606,2050.04
Research development(figures in $M),PSA,17.54,17.54,8.403,10.076,6.85
Selling general and administrative(figures in $M),PSA,81.116,114.742,101.254,83.199,71.983
Total operating expenses(figures in $M),PSA,1002.888,1002.888,814.682,636.456,584.901
Operating income or loss(figures in $M),PSA,2126.368,2126.368,1680.544,1411.15,1465.139
Interest expense(figures in $M),PSA,136.319,136.319,90.774,56.283,45.641
Total other income/expenses net(figures in $M),PSA,2355.401,2335.658,357.563,-15.963,77.717
Income before tax(figures in $M),PSA,4366.274,4366.274,1959.639,1361.227,1525.651
Income from continuing operations(figures in $M),PSA,4366.274,4366.274,1959.639,1361.227,1525.651
Net income(figures in $M),PSA,4349.147,4349.147,1953.263,1357.213,1520.534
Net income available to common shareholders(figures in $M),PSA,4142.288,4142.288,1732.444,1098.335,1272.767
Basic EPS(figures in $M),PSA,,2.364e-05,9.91e-06,6.29e-06,7.2999999999999996e-06
Diluted EPS(figures in $M),PSA,,2.35e-05,9.869999999999999e-06,6.29e-06,7.29e-06
Basic average shares(figures in $M),PSA,,175.257,174.858,174.494,174.287
Diluted average shares(figures in $M),PSA,,176.28,175.568,174.642,174.53
EBITDA(figures in $M),PSA,,5390.739,2763.841,1970.767,2084.21
