,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),4349.147,4349.147,1953.263,1357.213,1520.534,PSA
Depreciation & amortisation(figures in $M),888.146,888.146,713.428,553.257,512.918,PSA
Stock-based compensation(figures in $M),56.703,56.703,59.815,33.363,25.833,PSA
Other working capital(figures in $M),2657.368,2657.368,2273.317,1872.904,1880.331,PSA
Other non-cash items(figures in $M),6.156,6.156,17.748,6.994,7.699,PSA
Net cash provided by operating activities(figures in $M),3117.141,3117.141,2543.555,2042.902,2067.643,PSA
"Investments in property, plant and equipment(figures in $M)",-459.773,-459.773,-270.238,-169.998,-187.312,PSA
Other investing activities(figures in $M),0.0,0.0,0.0,7.509,0.0,PSA
Net cash used for investing activities(figures in $M),1119.996,1119.996,-5563.511,-1117.714,-897.36,PSA
Debt repayment(figures in $M),-513.495,-513.495,-2.218,-2.02,-1.92,PSA
Common stock issued(figures in $M),35.271,35.271,95.86,12.664,33.564,PSA
Common stock repurchased(figures in $M),0.0,0.0,-1175.0,-1220.0,-1050.0,PSA
Dividends paid(figures in $M),-3908.497,-3908.497,-1588.888,-1606.429,-1608.749,PSA
Other financing activities(figures in $M),-49.381,-49.381,-4.903,-2.77,-37.524,PSA
Net cash used provided by (used for) financing activities(figures in $M),-4193.27,-4193.27,3498.141,-1075.716,-1120.735,PSA
Net change in cash(figures in $M),43.867,43.867,478.185,-150.528,49.548,PSA
Cash at beginning of period(figures in $M),761.29,761.29,282.6,433.554,384.019,PSA
Cash at end of period(figures in $M),805.157,805.157,761.29,282.6,433.554,PSA
Operating cash flow(figures in $M),3117.141,3117.141,2543.555,2042.902,2067.643,PSA
Capital expenditure(figures in $M),-459.773,-459.773,-270.238,-169.998,-187.312,PSA
Free cash flow(figures in $M),2657.368,2657.368,2273.317,1872.904,1880.331,PSA
