,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),PSA,775.253,734.599,257.56,409.743
Total cash(figures in $M),PSA,775.253,734.599,257.56,409.743
Total current assets(figures in $M),PSA,775.253,734.599,257.56,409.743
"Gross property, plant and equipment(figures in $M)",PSA,372.992,272.471,188.079,141.934
"Net property, plant and equipment(figures in $M)",PSA,372.992,272.471,188.079,141.934
Equity and other investments(figures in $M),PSA,275.752,828.763,773.046,767.816
Goodwill(figures in $M),PSA,165.843,165.843,174.6,174.6
Intangible assets(figures in $M),PSA,66.674,137.051,30.054,31.336
Other long-term assets(figures in $M),PSA,230.822,207.656,172.715,174.344
Total non-current assets(figures in $M),PSA,16777.054,16646.309,11558.986,10955.701
Total assets(figures in $M),PSA,17552.307,17380.908,11816.546,11365.444
Accrued liabilities(figures in $M),PSA,514.68,482.091,394.655,383.284
Total current liabilities(figures in $M),PSA,514.68,482.091,394.655,383.284
Long-term debt(figures in $M),PSA,6870.826,7475.279,2544.992,1902.493
Total non-current liabilities(figures in $M),PSA,6870.826,7475.279,2844.992,1902.493
Total liabilities(figures in $M),PSA,7385.506,7957.37,3239.647,2285.777
Common stock(figures in $M),PSA,4367.527,4117.513,3809.958,4082.442
Retained earnings(figures in $M),PSA,-110.231,-550.416,-914.791,-665.575
Accumulated other comprehensive income(figures in $M),PSA,-80.317,-53.587,-43.401,-64.89
Total stockholders' equity(figures in $M),PSA,10073.402,9335.177,8558.867,9062.911
Total liabilities and stockholders' equity(figures in $M),PSA,17552.307,17380.908,11816.546,11365.444
