,ticker,2023,2024,2025
Revenue(In $M),STT,"12,399","12,566","13,050"
Dividend,STT,2.60,2.81,2.94
Dividend Yield (in %),STT,3.39 %,3.66 %,3.83 %
EPS,STT,7.89,8.70,9.86
P/E Ratio,STT,8.74,7.93,7.00
EBIT(In $M),STT,"3,211","3,178","3,071"
EBITDA(In $M),STT,-,-,-
Net Profit(In $M),STT,"2,566","2,551","2,743"
Net Profit Adjusted(In $M),STT,"2,566","2,551","2,743"
Pre-Tax Profit(In $M),STT,"3,348","3,341","3,567"
Net Profit (Adjusted)(In $M),STT,"3,234","3,289","3,378"
EPS (Non-GAAP) ex. SOE(In $),STT,7.89,8.70,9.86
EPS (GAAP)(In $),STT,7.95,8.74,10.01
Gross Income(In $M),STT,-,-,-
Cash Flow from Investing(In $M),STT,-,-,-
Cash Flow from Operations(In $M),STT,-,-,-
Cash Flow from Financing(In $M),STT,-,-,-
Cash Flow per Share(In $),STT,-,-,-
Free Cash Flow(In $M),STT,-,-,-
Free Cash Flow per Share(In $),STT,-,-,-
Book Value per Share(In $),STT,72.44,77.55,80.40
Net Debt(In $M),STT,-,-,-
Research & Development Exp.(In $M),STT,-,-,-
Capital Expenditure(In $M),STT,-,-,-
"Selling, General & Admin. Exp.(In $M)",STT,-,-,-
Shareholder’s Equity(In $M),STT,"21,847","21,662","24,495"
Total Assets(In $M),STT,"290,715","292,200","312,965"
