,2022,2021,2020,2019,2018,ticker
Current ratio,19.364,1.427 K,45.794,154.128,0.249,STT
Quick ratio,26.845,987.742,45.794,154.128,0.610,STT
Cash ratio,18.731,859.773,30.205,86.135,0.374,STT
Days of sales outstanding,103.178,134.800,96.841,100.316,140.110,STT
Days of inventory outstanding,0,0,0,0,0,STT
Days of payables outstanding,0,0,0,0,0,STT
Gross profit margin,1,1,1,1,0,STT
Operating profit margin,0.392,0.290,0.280,0.360,0,STT
Pretax profit margin,0.274,0.290,0.248,0.243,0.274,STT
Net profit margin,0.228,0.246,0.207,0.203,0.237,STT
Effective tax rate,0.166,0.151,0.165,0.165,0.133,STT
Return on assets,0.010,0.009,0.008,0.010,0.011,STT
Return on equity,334.217,0.098,0.092,0.097,0.105,STT
Return on capital employed,0.018,0.010,0.011,0.017,0,STT
Net income per EBT,0.834,0.849,0.835,0.835,0.867,STT
Ebt per ebit,0.699,0.999,0.885,0.675,0,STT
Ebit per revenue,0.392,0.290,0.280,0.360,0,STT
Debt ratio,1.000,0.913,0.917,0.900,0.899,STT
Debt equity ratio,2.059 K,0.497,0.679,0.543,0.565,STT
Long term debt to capitalization,0.999,0.330,0.345,0.337,0.305,STT
Total debt to capitalization,1.000,0.332,0.404,0.352,0.361,STT
Interest coverage,3.081,1.058 K,8.731,3.074,0,STT
Cash flow to debt ratio,0.699,-0.493,0.199,0.426,0.747,STT
Company equity multiplier,33.285 K,11.498,12.012,9.996,9.868,STT
Receivables turnover,3.538,2.708,3.769,3.639,2.605,STT
Payables turnover,0,0,0,0,0,STT
Inventory turnover,0,0,0,0,0,STT
Fixed asset turnover,5.248,3.907,5.431,5.152,4.949,STT
Asset turnover,0.044,0.035,0.037,0.048,0.045,STT
Operating cash flow per share,32.679,-18.343,10.009,15.382,28.111,STT
Free cash flow per share,30.673,-20.561,8.422,13.409,26.474,STT
Cash per share,388.669,334.575,508.622,340.844,331.190,STT
Payout ratio,0.350,0.322,0.367,0.390,0.319,STT
Operating cash flow sales ratio,0.984,-0.613,0.302,0.484,0.954,STT
Free cash flow operating cash flow ratio,0.939,1.121,0.841,0.872,0.942,STT
Cash flow coverage ratios,0.699,-0.493,0.199,0.426,0.747,STT
Short term coverage ratios,5.701,-52.422,0.886,6.782,3.382,STT
Capital expenditure coverage ratio,-16.286,8.274,-6.307,-7.795,-17.171,STT
Dividend paid and capex coverage ratio,50.227,-122,10.736,28.450,47.749,STT
Dividend payout ratio,0.350,0.322,0.367,0.390,0.319,STT
Price book value ratio,3.419 K,1.243,0.980,1.191,0.946,STT
Price to book ratio,3.419 K,1.243,0.980,1.191,0.946,STT
Price to sales ratio,2.336,3.107,2.194,2.489,2.141,STT
Price earnings ratio,10.229,12.632,10.612,12.284,9.027,STT
Price to free cash flows ratio,2.529,-4.523,8.641,5.899,2.382,STT
Price to operating cash flows ratio,2.374,-5.070,7.271,5.142,2.244,STT
Price cash flow ratio,2.374,-5.070,7.271,5.142,2.244,STT
Price earnings to growth ratio,-2.168,0.657,0.594,-0.758,0.414,STT
Price sales ratio,2.336,3.107,2.194,2.489,2.141,STT
Dividend yield,0.034,0.025,0.035,0.032,0.035,STT
Enterprise value multiple,-11.237,-13.196,-21.937,-6.646,-7.817,STT
Price fair value,3.419 K,1.243,0.980,1.191,0.946,STT
