,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),2774.0,2774.0,2693.0,2420.0,2382.0,STT
Depreciation & amortisation(figures in $M),1156.0,1156.0,1557.0,1510.0,1337.0,STT
Deferred income taxes(figures in $M),-62.0,-62.0,-162.0,-194.0,-130.0,STT
Change in working capital(figures in $M),7626.0,7626.0,-11109.0,-649.0,1820.0,STT
Other working capital(figures in $M),11220.0,11220.0,-7521.0,2972.0,4960.0,STT
Other non-cash items(figures in $M),438.0,438.0,401.0,361.0,420.0,STT
Net cash provided by operating activities(figures in $M),11954.0,11954.0,-6710.0,3532.0,5690.0,STT
"Investments in property, plant and equipment(figures in $M)",-734.0,-734.0,-811.0,-560.0,-730.0,STT
"Acquisitions, net(figures in $M)",0.0,0.0,-346.0,0.0,-54.0,STT
Purchases of investments(figures in $M),-26843.0,-26843.0,-62549.0,-82532.0,-45749.0,STT
Sales/maturities of investments(figures in $M),31661.0,31661.0,55191.0,67452.0,36439.0,STT
Other investing activities(figures in $M),51.0,51.0,241.0,1335.0,720.0,STT
Net cash used for investing activities(figures in $M),6816.0,6816.0,-2172.0,-65534.0,-2626.0,STT
Debt repayment(figures in $M),-1567.0,-1567.0,-5302.0,-1878.0,-402.0,STT
Common stock issued(figures in $M),0.0,0.0,1900.0,0.0,0.0,STT
Common stock repurchased(figures in $M),-1623.0,-1623.0,-1439.0,-1093.0,-2416.0,STT
Dividends paid(figures in $M),-972.0,-972.0,-866.0,-889.0,-930.0,STT
Net cash used provided by (used for) financing activities(figures in $M),-18431.0,-18431.0,9046.0,62167.0,-2974.0,STT
Net change in cash(figures in $M),339.0,339.0,164.0,165.0,90.0,STT
Cash at beginning of period(figures in $M),3631.0,3631.0,3467.0,3302.0,3212.0,STT
Cash at end of period(figures in $M),3970.0,3970.0,3631.0,3467.0,3302.0,STT
Operating cash flow(figures in $M),11954.0,11954.0,-6710.0,3532.0,5690.0,STT
Capital expenditure(figures in $M),-734.0,-734.0,-811.0,-560.0,-730.0,STT
Free cash flow(figures in $M),11220.0,11220.0,-7521.0,2972.0,4960.0,STT
