,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),EFX,5122.2,5122.2,4923.9,4127.5,3507.6
Cost of revenue(figures in $M),EFX,2177.2,2177.2,1980.9,1737.4,1521.7
Gross profit(figures in $M),EFX,2945.0,2945.0,2943.0,2390.1,1985.9
Selling general and administrative(figures in $M),EFX,1328.9,1328.9,1324.6,1322.5,1990.2
Total operating expenses(figures in $M),EFX,1889.0,1889.0,1805.0,1713.5,2321.3
Operating income or loss(figures in $M),EFX,1056.0,1056.0,1138.0,676.6,-335.4
Interest expense(figures in $M),EFX,183.0,183.0,145.6,141.6,111.7
Total other income/expenses net(figures in $M),EFX,56.7,56.7,-43.2,150.2,14.1
Income before tax(figures in $M),EFX,929.7,929.7,949.2,685.2,-433.0
Income tax expense(figures in $M),EFX,229.5,229.5,200.7,159.0,-40.2
Income from continuing operations(figures in $M),EFX,700.2,700.2,748.5,526.2,-392.8
Net income(figures in $M),EFX,696.2,696.2,744.2,520.1,-398.8
Net income available to common shareholders(figures in $M),EFX,696.2,696.2,744.2,520.1,-398.8
Basic EPS(figures in $M),EFX,,,6.11e-06,4.2800000000000005e-06,-3.2999999999999997e-06
Diluted EPS(figures in $M),EFX,,,6.02e-06,4.24e-06,-3.2999999999999997e-06
Basic average shares(figures in $M),EFX,,,121.9,121.5,120.9
Diluted average shares(figures in $M),EFX,,,123.6,122.8,122.0
EBITDA(figures in $M),EFX,,1681.3,1584.4,1226.1,16.0
