,ticker,2023,2024,2025
Revenue(In $M),EFX,"5,325","5,862","6,452"
Dividend,EFX,1.57,1.65,1.85
Dividend Yield (in %),EFX,0.81 %,0.84 %,0.95 %
EPS,EFX,7.15,9.05,10.84
P/E Ratio,EFX,28.01,22.12,18.48
EBIT(In $M),EFX,"1,149","1,438","1,664"
EBITDA(In $M),EFX,"1,791","2,116","2,405"
Net Profit(In $M),EFX,688,913,"1,202"
Net Profit Adjusted(In $M),EFX,883,"1,104","1,293"
Pre-Tax Profit(In $M),EFX,921,"1,225","1,457"
Net Profit (Adjusted)(In $M),EFX,962,"1,298","1,623"
EPS (Non-GAAP) ex. SOE(In $),EFX,7.15,9.05,10.84
EPS (GAAP)(In $),EFX,5.58,7.64,9.68
Gross Income(In $M),EFX,"3,077","3,403","3,804"
Cash Flow from Investing(In $M),EFX,-473,-410,0
Cash Flow from Operations(In $M),EFX,"1,403","1,603","1,961"
Cash Flow from Financing(In $M),EFX,-651,-441,-
Cash Flow per Share(In $),EFX,11.30,13.57,15.53
Free Cash Flow(In $M),EFX,804,"1,157","1,392"
Free Cash Flow per Share(In $),EFX,6.70,10.53,11.17
Book Value per Share(In $),EFX,29.39,37.41,44.29
Net Debt(In $M),EFX,"5,749","5,402","4,191"
Research & Development Exp.(In $M),EFX,-,-,-
Capital Expenditure(In $M),EFX,546,487,494
"Selling, General & Admin. Exp.(In $M)",EFX,"1,312","1,320","1,491"
Shareholder’s Equity(In $M),EFX,"4,438","5,256","6,522"
Total Assets(In $M),EFX,"11,796","12,547",-
