,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),TXT,1963.0,1922.0,2146.0,1181.0
Total cash(figures in $M),TXT,1963.0,1922.0,2146.0,1181.0
Net receivables(figures in $M),TXT,855.0,838.0,787.0,921.0
Inventory(figures in $M),TXT,3550.0,3468.0,3513.0,4069.0
Other current assets(figures in $M),TXT,1033.0,1018.0,950.0,894.0
Total current assets(figures in $M),TXT,7401.0,7246.0,7396.0,7065.0
"Gross property, plant and equipment(figures in $M)",TXT,7607.0,7426.0,7212.0,6932.0
Accumulated depreciation(figures in $M),TXT,-5084.0,-4888.0,-4696.0,-4405.0
"Net property, plant and equipment(figures in $M)",TXT,2523.0,2538.0,2516.0,2527.0
Goodwill(figures in $M),TXT,2283.0,2149.0,2157.0,2150.0
Other long-term assets(figures in $M),TXT,4086.0,3894.0,3331.0,3276.0
Total non-current assets(figures in $M),TXT,8892.0,8581.0,8004.0,7953.0
Total assets(figures in $M),TXT,16293.0,15827.0,15400.0,15018.0
Current debt(figures in $M),TXT,7.0,6.0,509.0,561.0
Accounts payable(figures in $M),TXT,1018.0,786.0,776.0,1378.0
Accrued liabilities(figures in $M),TXT,414.0,477.0,381.0,362.0
Deferred revenues(figures in $M),TXT,1416.0,1105.0,758.0,715.0
Other current liabilities(figures in $M),TXT,2645.0,2344.0,1985.0,3285.0
Total current liabilities(figures in $M),TXT,3670.0,3136.0,3270.0,3846.0
Long-term debt(figures in $M),TXT,3175.0,3179.0,3198.0,2563.0
Other long-term liabilities(figures in $M),TXT,2335.0,2697.0,3087.0,3091.0
Total non-current liabilities(figures in $M),TXT,5510.0,5876.0,6285.0,5654.0
Total liabilities(figures in $M),TXT,9180.0,9012.0,9555.0,9500.0
Common stock(figures in $M),TXT,26.0,28.0,29.0,29.0
Retained earnings(figures in $M),TXT,5903.0,5870.0,5973.0,5682.0
Accumulated other comprehensive income(figures in $M),TXT,-612.0,-789.0,-1739.0,-1847.0
Total stockholders' equity(figures in $M),TXT,7113.0,6815.0,5845.0,5518.0
Total liabilities and stockholders' equity(figures in $M),TXT,16293.0,15827.0,15400.0,15018.0
