,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),TXT,12869.0,12869.0,12382.0,11651.0,13630.0
Cost of revenue(figures in $M),TXT,10800.0,10800.0,10297.0,10094.0,11406.0
Gross profit(figures in $M),TXT,2069.0,2069.0,2085.0,1557.0,2224.0
Selling general and administrative(figures in $M),TXT,1186.0,1186.0,1221.0,1045.0,1152.0
Total operating expenses(figures in $M),TXT,1186.0,1186.0,1221.0,1045.0,1152.0
Operating income or loss(figures in $M),TXT,883.0,883.0,864.0,512.0,1072.0
Interest expense(figures in $M),TXT,107.0,107.0,142.0,166.0,171.0
Total other income/expenses net(figures in $M),TXT,240.0,240.0,151.0,-64.0,41.0
Income before tax(figures in $M),TXT,1016.0,1016.0,873.0,282.0,942.0
Income tax expense(figures in $M),TXT,154.0,154.0,126.0,-27.0,127.0
Income from continuing operations(figures in $M),TXT,862.0,862.0,747.0,309.0,815.0
Net income(figures in $M),TXT,861.0,861.0,746.0,309.0,815.0
Net income available to common shareholders(figures in $M),TXT,861.0,861.0,746.0,309.0,815.0
Basic EPS(figures in $M),TXT,,4.05e-06,3.33e-06,1.35e-06,3.52e-06
Diluted EPS(figures in $M),TXT,,4.01e-06,3.2999999999999997e-06,1.35e-06,3.5e-06
Basic average shares(figures in $M),TXT,,212.809,224.106,228.536,228.0
Diluted average shares(figures in $M),TXT,,214.973,226.52,228.979,228.0
EBITDA(figures in $M),TXT,,1520.0,1405.0,839.0,1529.0
