,2022,2021,2020,2018,ticker
Current ratio,2.311,2.262,1.837,1.921,TXT
Quick ratio,0.880,0.897,0.547,0.608,TXT
Cash ratio,0.613,0.656,0.307,0.316,TXT
Days of sales outstanding,24.703,24.655,24.664,26.751,TXT
Days of inventory outstanding,122.931,127.030,130.211,120.198,TXT
Operating cycle,147.634,151.685,154.874,146.948,TXT
Days of payables outstanding,27.862,28.060,44.097,34.598,TXT
Cash conversion cycle,119.772,123.625,110.777,112.350,TXT
Gross profit margin,0.168,0.134,0.163,0.170,TXT
Operating profit margin,0.083,0.051,0.087,0.079,TXT
Pretax profit margin,0.071,0.024,0.069,0.099,TXT
Net profit margin,0.060,0.027,0.060,0.087,TXT
Effective tax rate,0.144,-0.096,0.135,0.117,TXT
Return on assets,0.047,0.020,0.054,0.086,TXT
Return on equity,0.109,0.053,0.148,0.235,TXT
Return on capital employed,0.081,0.049,0.106,0.103,TXT
Net income per EBT,0.855,1.096,0.865,0.883,TXT
Ebt per ebit,0.853,0.474,0.795,1.255,TXT
Ebit per revenue,0.083,0.051,0.087,0.079,TXT
Debt ratio,0.569,0.620,0.633,0.636,TXT
Debt equity ratio,0.467,0.634,0.566,0.729,TXT
Long term debt to capitalization,0.318,0.354,0.317,0.404,TXT
Total debt to capitalization,0.319,0.388,0.361,0.422,TXT
Interest coverage,7.204,3.584,6.930,6.645,TXT
Cash flow to debt ratio,0.502,0.207,0.325,0.293,TXT
Company equity multiplier,2.322,2.635,2.722,2.747,TXT
Receivables turnover,14.776,14.804,14.799,13.645,TXT
Payables turnover,13.101,13.008,8.277,10.550,TXT
Inventory turnover,2.969,2.873,2.803,3.037,TXT
Fixed asset turnover,4.879,4.631,5.394,5.343,TXT
Asset turnover,0.782,0.757,0.908,0.980,TXT
Operating cash flow per share,7.135,3.365,4.456,4.371,TXT
Free cash flow per share,5.462,1.978,2.969,2.914,TXT
Cash per share,8.576,9.390,5.180,4.371,TXT
Payout ratio,0.024,0.058,0.022,0.016,TXT
Operating cash flow sales ratio,0.129,0.066,0.075,0.079,TXT
Free cash flow operating cash flow ratio,0.765,0.588,0.666,0.667,TXT
Cash flow coverage ratios,0.502,0.207,0.325,0.293,TXT
Short term coverage ratios,266.500,1.511,1.811,4.291,TXT
Capital expenditure coverage ratio,-4.264,-2.426,-2.997,-3,TXT
Dividend paid and capex coverage ratio,-4.479,-2.572,-3.165,-3.172,TXT
Dividend payout ratio,0.024,0.058,0.022,0.016,TXT
Price book value ratio,2.539,1.890,1.849,2.227,TXT
Price to book ratio,2.539,1.890,1.849,2.227,TXT
Price to sales ratio,1.397,0.948,0.748,0.827,TXT
Price earnings ratio,23.192,35.745,12.516,9.460,TXT
Price to free cash flows ratio,14.135,24.436,15.068,15.664,TXT
Price to operating cash flows ratio,10.820,14.363,10.040,10.443,TXT
Price cash flow ratio,10.820,14.363,10.040,10.443,TXT
Price earnings to growth ratio,0.158,-0.580,-0.461,0.030,TXT
Price sales ratio,1.397,0.948,0.748,0.827,TXT
Dividend yield,0.001,0.002,0.002,0.002,TXT
Enterprise value multiple,13.138,12.785,7.585,7.165,TXT
Price fair value,2.539,1.890,1.849,2.227,TXT
