,ticker,2023,2024,2025,2026,2027
Revenue(In $M),OXY,"30,547","31,194","29,522","29,134","28,787"
Dividend,OXY,0.79,0.91,1.05,-,-
Dividend Yield (in %),OXY,1.12 %,1.35 %,1.65 %,-,-
EPS,OXY,5.30,5.76,5.38,4.12,3.87
P/E Ratio,OXY,11.08,10.20,10.91,14.25,15.17
EBIT(In $M),OXY,"8,764","9,238","7,939","7,734","7,620"
EBITDA(In $M),OXY,"15,567","16,020","14,765","13,979","13,519"
Net Profit(In $M),OXY,"5,203","5,612","4,789","4,186","3,925"
Net Profit Adjusted(In $M),OXY,"5,032","5,643","4,997","4,186","3,925"
Pre-Tax Profit(In $M),OXY,"7,840","8,605","7,366","6,897","6,825"
Net Profit (Adjusted)(In $M),OXY,"7,423","7,986","5,974",-,-
EPS (Non-GAAP) ex. SOE(In $),OXY,5.30,5.76,5.38,4.12,3.87
EPS (GAAP)(In $),OXY,5.28,5.62,4.29,4.12,3.87
Gross Income(In $M),OXY,"21,255","19,558","16,351",-,-
Cash Flow from Investing(In $M),OXY,"-5,624","-5,892","-5,741","-5,764","-5,655"
Cash Flow from Operations(In $M),OXY,"12,689","13,181","12,197","11,498","10,959"
Cash Flow from Financing(In $M),OXY,"-3,650","-3,756","-3,532","-3,745","-3,087"
Cash Flow per Share(In $),OXY,12.84,13.60,13.43,12.24,11.91
Free Cash Flow(In $M),OXY,"6,383","5,974","4,948","6,185",-
Free Cash Flow per Share(In $),OXY,0.04,0.11,1.00,-,-
Book Value per Share(In $),OXY,25.28,29.51,34.66,-,-
Net Debt(In $M),OXY,"19,868","17,345","14,086",-,-
Research & Development Exp.(In $M),OXY,-,-,-,-,-
Capital Expenditure(In $M),OXY,"5,856","6,224","5,913","5,855","5,355"
"Selling, General & Admin. Exp.(In $M)",OXY,"1,711","1,704","2,404",-,-
Shareholder’s Equity(In $M),OXY,"28,013","29,888","29,609","31,069","24,898"
Total Assets(In $M),OXY,"74,011","75,367","75,573","82,746","85,647"
