,ticker,2023,2024,2025,2026
Revenue(In $M),FLS,"4,042","4,318","4,471","4,704"
Dividend,FLS,0.82,0.84,0.86,-
Dividend Yield (in %),FLS,2.55 %,2.63 %,2.46 %,2.25 %
EPS,FLS,1.80,2.24,2.57,2.95
P/E Ratio,FLS,19.20,15.37,13.45,11.70
EBIT(In $M),FLS,365,439,486,560
EBITDA(In $M),FLS,454,528,574,643
Net Profit(In $M),FLS,237,296,339,392
Net Profit Adjusted(In $M),FLS,237,296,339,392
Pre-Tax Profit(In $M),FLS,304,381,436,500
Net Profit (Adjusted)(In $M),FLS,327,414,-,-
EPS (Non-GAAP) ex. SOE(In $),FLS,1.80,2.24,2.57,2.95
EPS (GAAP)(In $),FLS,1.61,2.26,2.62,-
Gross Income(In $M),FLS,"1,218","1,337","1,379","1,495"
Cash Flow from Investing(In $M),FLS,-80,-79,-78,-
Cash Flow from Operations(In $M),FLS,348,372,431,506
Cash Flow from Financing(In $M),FLS,-195,-216,-105,-106
Cash Flow per Share(In $),FLS,2.59,3.15,3.37,-
Free Cash Flow(In $M),FLS,251,264,329,346
Free Cash Flow per Share(In $),FLS,1.69,1.94,2.41,2.60
Book Value per Share(In $),FLS,15.08,16.58,18.31,-
Net Debt(In $M),FLS,880,714,570,-
Research & Development Exp.(In $M),FLS,-,-,-,-
Capital Expenditure(In $M),FLS,78,96,99,99
"Selling, General & Admin. Exp.(In $M)",FLS,869,915,902,936
Shareholder’s Equity(In $M),FLS,"1,979","2,196","2,453","2,810"
Total Assets(In $M),FLS,"4,943","5,077","5,369","5,915"
