,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FLS,3615.12,3615.12,3541.06,3728.134,3944.85
Cost of revenue(figures in $M),FLS,2620.825,2620.825,2491.335,2611.365,2649.48
Gross profit(figures in $M),FLS,994.295,994.295,1049.725,1116.769,1295.37
Selling general and administrative(figures in $M),FLS,815.545,815.545,797.076,878.245,899.813
Total operating expenses(figures in $M),FLS,815.545,815.545,797.076,878.245,899.813
Operating income or loss(figures in $M),FLS,178.75,178.75,252.649,238.524,395.557
Interest expense(figures in $M),FLS,46.247,46.247,57.617,57.386,54.98
Total other income/expenses net(figures in $M),FLS,17.91,17.91,-64.208,1.499,-7.136
Income before tax(figures in $M),FLS,154.376,154.376,133.588,186.812,341.85
Income tax expense(figures in $M),FLS,-43.639,-43.639,-2.594,60.031,80.07
Income from continuing operations(figures in $M),FLS,198.015,198.015,136.182,126.781,261.78
Net income(figures in $M),FLS,188.689,188.689,125.949,116.326,253.668
Net income available to common shareholders(figures in $M),FLS,188.689,188.689,125.949,116.326,253.668
Basic EPS(figures in $M),FLS,,,9.7e-07,8.900000000000001e-07,1.94e-06
Diluted EPS(figures in $M),FLS,,,9.6e-07,8.900000000000001e-07,1.9299999999999997e-06
Basic average shares(figures in $M),FLS,,,130.305,130.395,131.034
Diluted average shares(figures in $M),FLS,,,130.857,131.05,131.689
EBITDA(figures in $M),FLS,,291.576,291.027,344.951,501.311
