,ticker,2023,2024,2025
Revenue(In $M),CLF,"21,674","20,620","19,702"
Dividend,CLF,0.00,0.00,0.36
Dividend Yield (in %),CLF,0.17 %,0.24 %,-
EPS,CLF,2.00,2.28,2.22
P/E Ratio,CLF,7.52,6.58,6.77
EBIT(In $M),CLF,"1,579","1,868","1,790"
EBITDA(In $M),CLF,"2,560","2,737","2,598"
Net Profit(In $M),CLF,"1,055","1,284","1,227"
Net Profit Adjusted(In $M),CLF,"1,092","1,275","1,286"
Pre-Tax Profit(In $M),CLF,"1,385","1,690","1,622"
Net Profit (Adjusted)(In $M),CLF,"1,407","1,703","1,416"
EPS (Non-GAAP) ex. SOE(In $),CLF,2.00,2.28,2.22
EPS (GAAP)(In $),CLF,1.96,2.49,1.90
Gross Income(In $M),CLF,"2,242","2,510","2,291"
Cash Flow from Investing(In $M),CLF,-86,565,"1,125"
Cash Flow from Operations(In $M),CLF,"2,307","1,681","2,170"
Cash Flow from Financing(In $M),CLF,"-1,052",-,-
Cash Flow per Share(In $),CLF,3.95,4.39,3.80
Free Cash Flow(In $M),CLF,"1,777","1,842","1,156"
Free Cash Flow per Share(In $),CLF,0.70,-,-
Book Value per Share(In $),CLF,16.73,19.26,21.65
Net Debt(In $M),CLF,"3,350","1,503",609
Research & Development Exp.(In $M),CLF,-,-,-
Capital Expenditure(In $M),CLF,720,675,895
"Selling, General & Admin. Exp.(In $M)",CLF,497,500,500
Shareholder’s Equity(In $M),CLF,"8,852","9,971","10,621"
Total Assets(In $M),CLF,"18,312",-,-
