,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CLF,22989.0,22989.0,20444.0,5354.0,1989.9
Cost of revenue(figures in $M),CLF,20471.0,20471.0,15910.0,5102.0,1414.2
Gross profit(figures in $M),CLF,2518.0,2518.0,4534.0,252.0,575.7
Selling general and administrative(figures in $M),CLF,465.0,465.0,422.0,244.0,119.4
Total operating expenses(figures in $M),CLF,575.0,575.0,502.0,304.0,146.4
Operating income or loss(figures in $M),CLF,1943.0,1943.0,4032.0,-52.0,429.3
Interest expense(figures in $M),CLF,276.0,276.0,337.0,238.0,101.2
Total other income/expenses net(figures in $M),CLF,129.0,129.0,108.0,97.0,-16.0
Income before tax(figures in $M),CLF,1796.0,1796.0,3803.0,-193.0,312.1
Income tax expense(figures in $M),CLF,423.0,423.0,773.0,-111.0,17.6
Income from continuing operations(figures in $M),CLF,1373.0,1373.0,3030.0,-82.0,294.5
Net income(figures in $M),CLF,1335.0,1335.0,2988.0,-122.0,292.8
Net income available to common shareholders(figures in $M),CLF,1335.0,1335.0,2988.0,-122.0,292.8
Basic EPS(figures in $M),CLF,,2.57e-06,5.63e-06,-3.2e-07,1.06e-06
Diluted EPS(figures in $M),CLF,,2.5499999999999997e-06,5.36e-06,-3.2e-07,1.03e-06
Basic average shares(figures in $M),CLF,,519.0,498.0,378.663,276.761
Diluted average shares(figures in $M),CLF,,524.0,558.0,378.663,284.48
EBITDA(figures in $M),CLF,,3106.0,5037.0,353.0,498.4
