,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),2842.0,2842.0,3662.0,2697.0,2622.0,TRV
Depreciation & amortisation(figures in $M),826.0,870.0,870.0,789.0,763.0,TRV
Deferred income taxes(figures in $M),-186.0,62.0,62.0,-29.0,-33.0,TRV
Change in working capital(figures in $M),-2445.0,-1199.0,-1199.0,-1579.0,-2384.0,TRV
Accounts receivable(figures in $M),-533.0,-359.0,-359.0,-68.0,-227.0,TRV
Other working capital(figures in $M),6465.0,7274.0,7274.0,6519.0,5205.0,TRV
Other non-cash items(figures in $M),45.0,45.0,0.0,129.0,535.0,TRV
Net cash provided by operating activities(figures in $M),6465.0,7274.0,7274.0,6519.0,5205.0,TRV
"Acquisitions, net(figures in $M)",-4.0,-38.0,-38.0,0.0,0.0,TRV
Purchases of investments(figures in $M),-16618.0,-19099.0,-19099.0,-15285.0,-12101.0,TRV
Sales/maturities of investments(figures in $M),13310.0,14217.0,14217.0,10836.0,9631.0,TRV
Other investing activities(figures in $M),-385.0,-279.0,-279.0,-330.0,-325.0,TRV
Net cash used for investing activities(figures in $M),-3728.0,-5196.0,-5196.0,-4892.0,-2902.0,TRV
Debt repayment(figures in $M),0.0,0.0,0.0,-500.0,-500.0,TRV
Common stock repurchased(figures in $M),-2061.0,-2200.0,-2200.0,-672.0,-1548.0,TRV
Dividends paid(figures in $M),-875.0,-869.0,-869.0,-861.0,-844.0,TRV
Net cash used provided by (used for) financing activities(figures in $M),-2669.0,-2037.0,-2037.0,-1416.0,-2187.0,TRV
Net change in cash(figures in $M),38.0,40.0,40.0,227.0,121.0,TRV
Cash at beginning of period(figures in $M),761.0,721.0,721.0,494.0,373.0,TRV
Cash at end of period(figures in $M),799.0,761.0,761.0,721.0,494.0,TRV
Operating cash flow(figures in $M),6465.0,7274.0,7274.0,6519.0,5205.0,TRV
Free cash flow(figures in $M),6465.0,7274.0,7274.0,6519.0,5205.0,TRV
