,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),R,12461.0,12461.0,9920.4,8420.5,8867.1
Cost of revenue(figures in $M),R,9621.0,9621.0,7861.4,7144.6,7555.3
Gross profit(figures in $M),R,2840.0,2840.0,2059.0,1275.9,1311.8
Selling general and administrative(figures in $M),R,1415.0,1415.0,1054.5,921.6,907.4
Total operating expenses(figures in $M),R,1415.0,1415.0,1186.6,1045.0,1029.4
Operating income or loss(figures in $M),R,1425.0,1425.0,872.4,230.9,282.4
Interest expense(figures in $M),R,228.0,228.0,213.9,261.3,241.4
Total other income/expenses net(figures in $M),R,19.0,19.0,34.2,-99.9,-83.4
Income before tax(figures in $M),R,1216.0,1216.0,692.6,-130.4,-42.3
Income tax expense(figures in $M),R,353.0,353.0,171.0,-18.4,-19.0
Income from continuing operations(figures in $M),R,863.0,863.0,521.6,-112.0,-23.3
Net income(figures in $M),R,867.0,867.0,519.0,-122.3,-24.4
Net income available to common shareholders(figures in $M),R,867.0,867.0,519.0,-122.3,-24.4
Basic EPS(figures in $M),R,,1.8730000000000002e-05,9.65e-06,-2.2799999999999998e-06,-4.6000000000000004e-07
Diluted EPS(figures in $M),R,,1.704e-05,9.65e-06,-2.34e-06,-4.6999999999999995e-07
Basic average shares(figures in $M),R,,46.287,53.789,53.732,53.278
Diluted average shares(figures in $M),R,,50.9,53.789,53.732,53.278
EBITDA(figures in $M),R,,1444.0,906.5,130.9,199.1
