,ticker,ttm,2022-03-31,2021-03-31,2020-03-31
Total revenue(figures in $M),RL,6425.5,6218.5,4400.8,6159.8
Cost of revenue(figures in $M),RL,2244.2,2071.0,1539.4,2506.5
Gross profit(figures in $M),RL,4181.3,4147.5,2861.4,3653.3
Selling general and administrative(figures in $M),RL,3454.7,3305.6,2638.5,3237.5
Total operating expenses(figures in $M),RL,3454.7,3305.6,2638.5,3237.5
Operating income or loss(figures in $M),RL,726.6,841.9,222.9,415.8
Interest expense(figures in $M),RL,47.0,54.0,48.5,17.6
Total other income/expenses net(figures in $M),RL,-27.5,-38.8,-258.9,-106.2
Income before tax(figures in $M),RL,672.0,754.6,-74.8,326.4
Income tax expense(figures in $M),RL,157.2,154.5,46.3,-57.9
Income from continuing operations(figures in $M),RL,514.8,600.1,-121.1,384.3
Net income(figures in $M),RL,514.8,600.1,-121.1,384.3
Net income available to common shareholders(figures in $M),RL,514.8,600.1,-121.1,384.3
Basic EPS(figures in $M),RL,,8.220000000000001e-06,-1.6499999999999999e-06,5.070000000000001e-06
Diluted EPS(figures in $M),RL,,8.07e-06,-1.6499999999999999e-06,4.980000000000001e-06
Basic average shares(figures in $M),RL,,73.0,73.5,75.8
Diluted average shares(figures in $M),RL,,74.3,73.5,77.2
EBITDA(figures in $M),RL,,1038.3,221.3,613.5
