,ticker,2023,2024,2025,2026,2027
Revenue(In $M),RL,"6,374","6,733","7,083","7,680","8,106"
Dividend,RL,3.09,3.22,3.56,5.22,6.00
Dividend Yield (in %),RL,2.76 %,2.88 %,3.15 %,4.68 %,4.99 %
EPS,RL,8.07,9.22,10.71,13.74,15.75
P/E Ratio,RL,13.87,12.15,10.46,8.15,7.11
EBIT(In $M),RL,758,841,926,"1,152","1,258"
EBITDA(In $M),RL,984,"1,074","1,164","1,428","1,543"
Net Profit(In $M),RL,553,609,672,846,938
Net Profit Adjusted(In $M),RL,553,609,672,846,938
Pre-Tax Profit(In $M),RL,727,809,898,"1,127","1,234"
Net Profit (Adjusted)(In $M),RL,714,809,944,-,-
EPS (Non-GAAP) ex. SOE(In $),RL,8.07,9.22,10.71,13.74,15.75
EPS (GAAP)(In $),RL,7.84,9.39,10.92,13.74,15.75
Gross Income(In $M),RL,"4,130","4,411","4,681","5,135","5,437"
Cash Flow from Investing(In $M),RL,-245,-290,-291,-290,-269
Cash Flow from Operations(In $M),RL,563,963,687,"1,237","1,273"
Cash Flow from Financing(In $M),RL,"-1,164",-654,-654,-681,-775
Cash Flow per Share(In $),RL,11.23,13.95,15.93,-,-
Free Cash Flow(In $M),RL,456,609,525,947,"1,004"
Free Cash Flow per Share(In $),RL,8.07,9.79,6.03,15.38,16.86
Book Value per Share(In $),RL,35.82,38.61,44.16,-,-
Net Debt(In $M),RL,-277,-193,-330,-238,-367
Research & Development Exp.(In $M),RL,-,-,-,-,-
Capital Expenditure(In $M),RL,249,307,312,290,269
"Selling, General & Admin. Exp.(In $M)",RL,"3,365","3,563","3,732","3,984","4,179"
Shareholder’s Equity(In $M),RL,"2,418","2,465","2,608","2,772","2,682"
Total Assets(In $M),RL,"7,108","7,257","7,531","6,870","7,084"
