,ttm,2022-12-31,2021-12-31,2020-12-31,ticker
Net income(figures in $M),-19.258,-8.845,-16.704,0.403,SAI
Depreciation & amortisation(figures in $M),1.662,1.662,0.309,0.083,SAI
Deferred income taxes(figures in $M),0.0,0.0,0.012,0.019,SAI
Stock-based compensation(figures in $M),1.06,1.06,14.457,0.0,SAI
Change in working capital(figures in $M),-0.508,-0.508,0.58,-1.585,SAI
Accounts receivable(figures in $M),-0.366,-0.366,-1.122,-0.049,SAI
Inventory(figures in $M),0.03,0.03,0.721,-0.851,SAI
Accounts payable(figures in $M),-1.096,-1.096,1.213,0.045,SAI
Other working capital(figures in $M),-6.834,-6.834,-4.953,-1.794,SAI
Other non-cash items(figures in $M),0.0,0.0,0.228,0.0,SAI
Net cash provided by operating activities(figures in $M),-4.962,-4.962,-0.983,-1.035,SAI
"Investments in property, plant and equipment(figures in $M)",-1.872,-1.872,-3.97,-0.759,SAI
Other investing activities(figures in $M),-4.612,-4.612,0.0,0.0,SAI
Net cash used for investing activities(figures in $M),-6.424,-6.424,-3.97,-0.759,SAI
Common stock issued(figures in $M),18.533,18.533,0.0,0.0,SAI
Net cash used provided by (used for) financing activities(figures in $M),18.533,18.533,8.191,2.892,SAI
Net change in cash(figures in $M),6.738,6.738,3.177,1.17,SAI
Cash at beginning of period(figures in $M),4.477,4.477,1.3,0.13,SAI
Cash at end of period(figures in $M),11.215,11.215,4.477,1.3,SAI
Operating cash flow(figures in $M),-4.962,-4.962,-0.983,-1.035,SAI
Capital expenditure(figures in $M),-1.872,-1.872,-3.97,-0.759,SAI
Free cash flow(figures in $M),-6.834,-6.834,-4.953,-1.794,SAI
