,ticker,2023,2024,2025,2026,2027
Revenue(In $M),D,"17,482","17,821","18,556","19,921","21,479"
Dividend,D,2.70,-,2.81,2.92,3.13
Dividend Yield (in %),D,4.96 %,5.09 %,5.22 %,5.67 %,5.67 %
EPS,D,3.98,3.71,3.90,4.14,4.47
P/E Ratio,D,14.02,15.05,14.32,13.46,12.49
EBIT(In $M),D,"5,425","5,613","5,883","6,192","7,212"
EBITDA(In $M),D,"8,215","8,563","8,850","9,280","10,664"
Net Profit(In $M),D,"3,218","3,166","3,351","3,656","4,013"
Net Profit Adjusted(In $M),D,"3,218","3,166","3,351","3,656","4,013"
Pre-Tax Profit(In $M),D,"4,035","3,848","4,050","3,883","4,262"
Net Profit (Adjusted)(In $M),D,"3,899","3,918","4,208",-,-
EPS (Non-GAAP) ex. SOE(In $),D,3.98,3.71,3.90,4.14,4.47
EPS (GAAP)(In $),D,3.82,3.65,3.94,4.20,4.44
Gross Income(In $M),D,"12,434","12,667","13,381",-,-
Cash Flow from Investing(In $M),D,"-6,940","-6,980","-9,700","-10,976","-10,977"
Cash Flow from Operations(In $M),D,"6,456","6,559","6,986","7,046","7,671"
Cash Flow from Financing(In $M),D,"1,917","1,194","1,060","1,887","2,223"
Cash Flow per Share(In $),D,7.33,7.08,7.74,7.92,8.22
Free Cash Flow(In $M),D,-861,"-3,658","-3,195","-4,602",-
Free Cash Flow per Share(In $),D,-4.16,-4.06,-3.87,-0.23,0.16
Book Value per Share(In $),D,35.71,37.39,37.74,-,-
Net Debt(In $M),D,"47,453","50,708","54,008","66,802","69,787"
Research & Development Exp.(In $M),D,-,-,-,-,-
Capital Expenditure(In $M),D,"8,981","9,367","9,430","8,026","7,350"
"Selling, General & Admin. Exp.(In $M)",D,"3,727","3,696","3,671",-,-
Shareholder’s Equity(In $M),D,"29,897","31,121","32,250","33,876","31,549"
Total Assets(In $M),D,"107,996","113,231","120,158","128,448","134,191"
