,ticker,2023,2024,2025,2026,2027
Revenue(In $M),GD,"41,462","44,253",-,"47,381","48,352"
Dividend,GD,5.25,5.66,6.13,6.28,6.20
Dividend Yield (in %),GD,2.39 %,2.57 %,2.77 %,2.74 %,2.45 %
EPS,GD,12.68,14.72,15.87,16.74,17.71
P/E Ratio,GD,16.57,14.29,13.25,12.56,11.87
EBIT(In $M),GD,"4,477","5,079","5,364","5,556","5,668"
EBITDA(In $M),GD,"5,365","5,954",-,"6,530","6,658"
Net Profit(In $M),GD,"3,485","4,007","4,224","4,399","4,555"
Net Profit Adjusted(In $M),GD,"3,475","4,011","4,180","4,353",-
Pre-Tax Profit(In $M),GD,"4,206","4,833","5,085","5,357","5,558"
Net Profit (Adjusted)(In $M),GD,"4,191","4,673","4,928",-,-
EPS (Non-GAAP) ex. SOE(In $),GD,12.69,14.72,15.87,16.74,17.71
EPS (GAAP)(In $),GD,12.68,14.66,15.82,16.76,17.71
Gross Income(In $M),GD,"7,087","7,916",-,-,-
Cash Flow from Investing(In $M),GD,-977,-936,-926,-905,-890
Cash Flow from Operations(In $M),GD,"4,685","5,004","5,198","5,335","5,356"
Cash Flow from Financing(In $M),GD,"-3,388","-3,202","-3,996","-3,694","-5,065"
Cash Flow per Share(In $),GD,16.60,18.26,19.09,-,-
Free Cash Flow(In $M),GD,"3,737","4,102","4,332","4,481","4,461"
Free Cash Flow per Share(In $),GD,13.44,15.29,16.45,17.56,18.82
Book Value per Share(In $),GD,101.32,108.82,116.08,-,-
Net Debt(In $M),GD,"8,371","7,284","6,431","5,495","4,483"
Research & Development Exp.(In $M),GD,939,903,946,972,-
Capital Expenditure(In $M),GD,955,924,917,903,895
"Selling, General & Admin. Exp.(In $M)",GD,"2,612","2,766","2,877","2,858",-
Shareholder’s Equity(In $M),GD,"20,090","21,272","22,110","23,039","24,266"
Total Assets(In $M),GD,"52,078","53,496","53,768","54,336","54,033"
