,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MOS,"14,324","12,938","12,544","13,208","19,471"
Dividend,MOS,0.97,0.84,0.91,-,-
Dividend Yield (in %),MOS,2.08 %,1.80 %,1.86 %,-,-
EPS,MOS,6.23,5.07,4.67,4.59,8.90
P/E Ratio,MOS,6.20,7.61,8.27,8.42,4.34
EBIT(In $M),MOS,"2,803","2,193","1,953","2,208","4,138"
EBITDA(In $M),MOS,"3,678","3,180","2,808","2,900",-
Net Profit(In $M),MOS,"2,089","1,626","1,403","1,596","3,161"
Net Profit Adjusted(In $M),MOS,"2,089","1,626","1,403","1,596","3,161"
Pre-Tax Profit(In $M),MOS,"2,676","2,089","1,863","2,055","4,026"
Net Profit (Adjusted)(In $M),MOS,"2,553","2,002",-,-,-
EPS (Non-GAAP) ex. SOE(In $),MOS,6.23,5.07,4.67,4.59,8.90
EPS (GAAP)(In $),MOS,6.14,5.17,4.21,-,-
Gross Income(In $M),MOS,"3,615","2,960","2,498","3,484","5,208"
Cash Flow from Investing(In $M),MOS,-,"-1,189","-1,100","-1,000",-
Cash Flow from Operations(In $M),MOS,"3,447","2,803","2,164","2,300",-
Cash Flow from Financing(In $M),MOS,-,-,-,-300,-
Cash Flow per Share(In $),MOS,8.70,7.89,6.94,-,-
Free Cash Flow(In $M),MOS,"1,938","1,492",977,"1,300",-
Free Cash Flow per Share(In $),MOS,6.25,5.49,4.22,3.93,-
Book Value per Share(In $),MOS,38.50,41.97,44.86,-,-
Net Debt(In $M),MOS,"2,743","2,268","2,232",-,-
Research & Development Exp.(In $M),MOS,-,-,-,-,-
Capital Expenditure(In $M),MOS,"1,363","1,193","1,076","1,000",-
"Selling, General & Admin. Exp.(In $M)",MOS,492,461,476,485,519
Shareholder’s Equity(In $M),MOS,"13,021","13,878","14,402","19,273","24,521"
Total Assets(In $M),MOS,"23,540","24,330","26,692","30,231","37,534"
