,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PNW,"4,356","4,609","4,796","5,031","5,209"
Dividend,PNW,3.49,3.57,3.69,3.65,3.71
Dividend Yield (in %),PNW,4.49 %,6.45 %,4.66 %,4.71 %,4.78 %
EPS,PNW,4.07,-,4.89,5.17,5.36
P/E Ratio,PNW,19.62,16.66,16.31,15.42,14.90
EBIT(In $M),PNW,787,924,"1,007","1,093","1,142"
EBITDA(In $M),PNW,"1,595","1,781","1,940","2,082","2,194"
Net Profit(In $M),PNW,465,566,589,638,660
Net Profit Adjusted(In $M),PNW,465,566,588,633,654
Pre-Tax Profit(In $M),PNW,543,661,700,729,770
Net Profit (Adjusted)(In $M),PNW,528,684,714,-,-
EPS (Non-GAAP) ex. SOE(In $),PNW,4.07,-,4.89,5.17,5.36
EPS (GAAP)(In $),PNW,4.09,4.84,4.88,5.33,5.44
Gross Income(In $M),PNW,"2,805","3,025","3,219","3,387","3,553"
Cash Flow from Investing(In $M),PNW,"-1,525","-1,650","-1,650","-1,650","-1,650"
Cash Flow from Operations(In $M),PNW,"1,252","1,412","1,524","1,620","1,711"
Cash Flow from Financing(In $M),PNW,259,251,192,92,-8
Cash Flow per Share(In $),PNW,11.36,12.21,12.93,-,-
Free Cash Flow(In $M),PNW,-413,-369,-354,-,-
Free Cash Flow per Share(In $),PNW,-,-,-,-,-
Book Value per Share(In $),PNW,54.01,56.97,57.82,-,-
Net Debt(In $M),PNW,"9,118","9,386","9,937",-,-
Research & Development Exp.(In $M),PNW,-,-,-,-,-
Capital Expenditure(In $M),PNW,"1,670","1,800","1,850","1,850","1,850"
"Selling, General & Admin. Exp.(In $M)",PNW,-,-,-,-,-
Shareholder’s Equity(In $M),PNW,"6,330","6,817","6,976","7,371","7,668"
Total Assets(In $M),PNW,"23,650","24,642","25,622","26,539","27,395"
