,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PNW,4113.928,4324.385,3803.835,3586.982,3471.209
Cost of revenue(figures in $M),PNW,2408.392,2616.415,2106.618,1952.329,1983.853
Gross profit(figures in $M),PNW,1705.536,1707.97,1697.217,1634.653,1487.356
Total operating expenses(figures in $M),PNW,960.359,976.059,891.907,846.501,815.396
Operating income or loss(figures in $M),PNW,745.177,731.911,805.31,788.152,671.96
Interest expense(figures in $M),PNW,246.576,255.539,233.262,228.971,216.723
Total other income/expenses net(figures in $M),PNW,126.783,91.955,173.982,89.044,86.803
Income before tax(figures in $M),PNW,631.992,575.653,746.03,648.225,542.04
Income tax expense(figures in $M),PNW,79.59,74.827,110.086,78.173,-15.773
Income from continuing operations(figures in $M),PNW,552.402,500.826,635.944,570.052,557.813
Net income(figures in $M),PNW,535.178,483.602,618.72,550.559,538.32
Net income available to common shareholders(figures in $M),PNW,535.178,483.602,618.72,550.559,538.32
Basic EPS(figures in $M),PNW,,4.27e-06,5.48e-06,4.89e-06,4.79e-06
Diluted EPS(figures in $M),PNW,,4.26e-06,5.47e-06,4.87e-06,4.769999999999999e-06
Basic average shares(figures in $M),PNW,,113.196,112.91,112.666,112.443
Diluted average shares(figures in $M),PNW,,113.416,113.192,112.942,112.758
EBITDA(figures in $M),PNW,,1649.006,1630.167,1491.574,1349.692
