,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),OI,6856.0,6856.0,6357.0,6091.0,6691.0
Cost of revenue(figures in $M),OI,5643.0,5643.0,5266.0,5119.0,5483.0
Gross profit(figures in $M),OI,1213.0,1213.0,1091.0,972.0,1208.0
Research development(figures in $M),OI,79.0,79.0,82.0,75.0,68.0
Selling general and administrative(figures in $M),OI,496.0,496.0,433.0,403.0,439.0
Total operating expenses(figures in $M),OI,608.0,575.0,515.0,478.0,507.0
Operating income or loss(figures in $M),OI,605.0,638.0,576.0,494.0,701.0
Interest expense(figures in $M),OI,239.0,239.0,216.0,265.0,311.0
Total other income/expenses net(figures in $M),OI,439.0,406.0,-28.0,124.0,-651.0
Income before tax(figures in $M),OI,805.0,805.0,332.0,353.0,-261.0
Income tax expense(figures in $M),OI,178.0,178.0,167.0,89.0,118.0
Income from continuing operations(figures in $M),OI,627.0,627.0,165.0,264.0,-379.0
Net income(figures in $M),OI,584.0,584.0,149.0,249.0,-400.0
Net income available to common shareholders(figures in $M),OI,584.0,584.0,149.0,249.0,-400.0
Basic EPS(figures in $M),OI,,3.7599999999999996e-06,9.499999999999999e-07,1.59e-06,-2.58e-06
Diluted EPS(figures in $M),OI,,3.67e-06,9.300000000000001e-07,1.57e-06,-2.58e-06
Basic average shares(figures in $M),OI,,155.309,157.15,156.806,155.25
Diluted average shares(figures in $M),OI,,158.985,160.309,158.785,155.25
EBITDA(figures in $M),OI,,1509.0,1011.0,1100.0,559.0
