,ticker,headline,datetime,sentiment_bucket,sentiment_score
0,AAPL,"Apple Earnings May Fall 10% As iPad, Mac Sales Drag",2023-05-02 11:20:17,Negative,0.38
1,AAPL,"GM Ditches Apple CarPlay In 2024 Chevy Blazer, Latest Salvo In Auto Dashboard Wars",2023-05-02 09:34:18,Negative,0.28
2,AAPL,Apple fights $2 billion London lawsuit for 'throttling' millions of iPhones,2023-05-02 08:34:56,Negative,0.28
3,AAPL,"Apple Card savings account has an attractive 4.15% interest rate, but be aware of these pitfalls before signing up",2023-05-02 07:25:00,Negative,0.27
4,AAPL,Apple fights $2 bln London lawsuit for 'throttling' millions of iPhones,2023-05-02 05:54:58,Negative,0.34
5,AAPL,Masimo Falls after Mistrial Verdict in AAPL Case,2023-05-02 01:02:00,Negative,0.23
6,AAPL,Masimo down 5% after judge declares mistrial in fight with Apple,2023-05-02 00:22:00,Negative,0.21
7,AAPL,US judge declares mistrial in Apple-Masimo smartwatch trade secrets fight,2023-05-01 16:37:55,Negative,0.31
8,AAPL,Apple iPhone Sales May Miss Wall Street Estimates. Here’s Why.,2023-05-01 10:14:00,Negative,0.32
9,AAPL,Apple Earnings To Define Mixed Q1 Season As Stocks Test 2023 Highs,2023-05-01 09:26:00,Negative,0.38
10,AAPL,Apple Partnership was “Kiss of Death” Smaller Rivals Claim,2023-05-01 05:52:00,Negative,0.38
11,AAPL,Don't Guess in Any Big Way at What Apple or the Fed May Say,2023-05-01 04:49:00,Negative,0.33
12,AAPL,"Analysts Conflicted on These Technology Names: Apple (AAPL), Astra Space (ASTR) and Honeywell International (HON)",2023-04-30 22:11:00,Negative,0.26
13,AAPL,Apple: Negative Services Growth On The Horizon,2023-04-30 05:22:00,Negative,0.21
14,AAPL,"Giant Fund Sells Apple, Tesla, Intel, and Nvidia Stock",2023-04-30 05:00:00,Negative,0.28
15,AAPL,Apple Is Offering A Rich Valuation And Slow Growth: Look Elsewhere,2023-04-29 05:33:00,Negative,0.33
16,AAPL,Apple employee who defrauded company of millions sentenced to three years in prison,2023-04-28 04:05:45,Negative,0.22
17,AAPL,Apple Pay Later won't affect us for years: Klarna CEO,2023-04-27 14:56:01,Negative,0.39
18,AAPL,Analysts Estimate Apple (AAPL) to Report a Decline in Earnings: What to Look Out for,2023-04-27 07:02:02,Negative,0.29
19,AAPL,Apple's Q2 Preview: Why It May Be Painful,2023-04-27 05:26:44,Negative,0.33
20,AAPL,Apple`s Q2 Preview: Why It May Be Painful,2023-04-27 04:31:00,Negative,0.34
21,AAPL,"Samsung, Apple lead another weak smartphone quarter",2023-04-27 03:00:00,Negative,0.28
22,AAPL,"Apple, Google partner to combat creepy tracking tactics",2023-05-02 10:26:52,Positive,0.66
23,AAPL,"Q1 Earnings Season Scorecard and Featured Research on Apple, Microsoft & Meta Platforms",2023-05-02 09:53:04,Positive,0.69
24,AAPL,"Apple Inc. stock falls Tuesday, still outperforms market",2023-05-02 09:31:00,Positive,0.7
25,AAPL,"UPDATE 1-Google, Apple working together to fight unwanted tracking ",2023-05-02 09:13:53,Positive,0.79
26,AAPL,"Apple, Google Partner to Address AirTag Safety Concerns",2023-05-02 08:46:00,Positive,0.75
27,AAPL,Apple Is About to Increase Its Dividend: What You Need to Know,2023-05-02 08:41:00,Positive,0.6
28,AAPL,"Google, Apple working together to fight unwanted tracking",2023-05-02 06:14:49,Positive,0.61
29,AAPL,"Google, Apple submit proposal to fight misuse of Bluetooth location-tracking devices ",2023-05-02 06:12:21,Positive,0.65
30,AAPL,Why Apple’s bid to control your car is striking fear into manufacturers,2023-05-02 04:00:00,Positive,0.78
