,ticker,2023,2024,2025
Revenue(In $M),ALXN,"7,010","9,726","9,792"
Dividend,ALXN,0.00,-,-
Dividend Yield (in %),ALXN,-,-,-
EPS,ALXN,14.03,22.52,23.54
P/E Ratio,ALXN,12.36,7.70,7.37
EBIT(In $M),ALXN,"5,071","5,508","5,535"
EBITDA(In $M),ALXN,"5,160","5,869","6,490"
Net Profit(In $M),ALXN,"4,215","4,601","4,675"
Net Profit Adjusted(In $M),ALXN,"4,215","4,601","4,675"
Pre-Tax Profit(In $M),ALXN,"5,290","5,804","5,909"
Net Profit (Adjusted)(In $M),ALXN,"3,323","4,835","4,926"
EPS (Non-GAAP) ex. SOE(In $),ALXN,16.02,18.59,20.57
EPS (GAAP)(In $),ALXN,17.55,19.75,20.63
Gross Income(In $M),ALXN,"6,875","7,275","7,416"
Cash Flow from Investing(In $M),ALXN,-57,-66,-73
Cash Flow from Operations(In $M),ALXN,"4,214","4,772","5,193"
Cash Flow from Financing(In $M),ALXN,20,20,20
Cash Flow per Share(In $),ALXN,17.22,-,-
Free Cash Flow(In $M),ALXN,"3,272","3,959","4,252"
Free Cash Flow per Share(In $),ALXN,-,-,-
Book Value per Share(In $),ALXN,88.27,-,-
Net Debt(In $M),ALXN,-,-,-
Research & Development Exp.(In $M),ALXN,"1,449","1,564","1,570"
Capital Expenditure(In $M),ALXN,57,66,73
"Selling, General & Admin. Exp.(In $M)",ALXN,"1,620","1,754","1,764"
Shareholder’s Equity(In $M),ALXN,"22,195","26,444","31,056"
Total Assets(In $M),ALXN,"28,414","32,663","37,275"
