,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),2139.535,2139.535,2249.631,1112.564,2101.584,SPG
Depreciation & amortisation(figures in $M),1292.113,1292.113,1325.895,1354.991,1394.172,SPG
Change in working capital(figures in $M),148.886,148.886,391.728,-425.022,-36.395,SPG
Accounts payable(figures in $M),190.103,190.103,203.968,19.08,13.1,SPG
Other working capital(figures in $M),3116.58,3116.58,3109.467,1842.579,2931.82,SPG
Other non-cash items(figures in $M),19.587,19.587,-184.236,19.95,-67.139,SPG
Net cash provided by operating activities(figures in $M),3766.604,3766.604,3637.402,2326.698,3807.831,SPG
"Investments in property, plant and equipment(figures in $M)",-650.024,-650.024,-527.935,-484.119,-876.011,SPG
"Acquisitions, net(figures in $M)",-439.156,-439.156,-313.981,-3798.062,-76.589,SPG
Purchases of investments(figures in $M),-66.14,-66.14,-33.605,-32.955,-374.231,SPG
Sales/maturities of investments(figures in $M),26.086,26.086,65.504,30.0,0.0,SPG
Other investing activities(figures in $M),9.172,9.172,8.379,56.38,20.079,SPG
Net cash used for investing activities(figures in $M),-626.564,-626.564,-552.764,-3978.398,-1076.707,SPG
Debt repayment(figures in $M),-3721.864,-3721.864,-10076.809,-12955.275,-12427.699,SPG
Common stock issued(figures in $M),0.0,0.0,338.121,1556.148,0.0,SPG
Common stock repurchased(figures in $M),-189.355,-189.355,-4.866,-169.549,-369.902,SPG
Dividends paid(figures in $M),-2592.472,-2592.472,-2690.7,-1664.193,-2949.401,SPG
Other financing activities(figures in $M),1.94,1.94,-379.278,-8.051,-141.385,SPG
Net cash used provided by (used for) financing activities(figures in $M),-3052.348,-3052.348,-3562.315,1993.94,-2576.086,SPG
Net change in cash(figures in $M),87.692,87.692,-477.677,342.24,155.038,SPG
Cash at beginning of period(figures in $M),533.936,533.936,1011.613,669.373,514.335,SPG
Cash at end of period(figures in $M),621.628,621.628,533.936,1011.613,669.373,SPG
Operating cash flow(figures in $M),3766.604,3766.604,3637.402,2326.698,3807.831,SPG
Capital expenditure(figures in $M),-650.024,-650.024,-527.935,-484.119,-876.011,SPG
Free cash flow(figures in $M),3116.58,3116.58,3109.467,1842.579,2931.82,SPG
