,ticker,2023,2024,2025,2026,2027
Revenue(In $M),SPG,"5,147","5,271","5,242",-,-
Dividend,SPG,7.31,7.61,-,7.20,7.20
Dividend Yield (in %),SPG,6.52 %,6.78 %,7.04 %,6.42 %,6.42 %
EPS,SPG,6.46,6.71,6.76,6.17,6.24
P/E Ratio,SPG,16.70,16.09,15.96,17.49,17.29
EBIT(In $M),SPG,"2,862","2,951","2,957","2,443","2,474"
EBITDA(In $M),SPG,"5,049","5,393","4,777","4,107",-
Net Profit(In $M),SPG,"2,145","2,333","2,338","2,016","2,041"
Net Profit Adjusted(In $M),SPG,"2,213","2,313","2,300","2,019","2,045"
Pre-Tax Profit(In $M),SPG,"2,373","2,453","2,670",-,-
Net Profit (Adjusted)(In $M),SPG,"2,476","2,544",-,-,-
EPS (Non-GAAP) ex. SOE(In $),SPG,6.60,7.51,-,-,-
EPS (GAAP)(In $),SPG,6.46,6.71,6.76,6.17,6.24
Gross Income(In $M),SPG,"4,426","4,593",-,-,-
Cash Flow from Investing(In $M),SPG,-770,-902,-,-,-
Cash Flow from Operations(In $M),SPG,"4,476","4,630",-,-,-
Cash Flow from Financing(In $M),SPG,"-3,870","-3,790",-,-,-
Cash Flow per Share(In $),SPG,10.20,10.53,-,-,-
Free Cash Flow(In $M),SPG,"3,148","3,233",-,-,-
Free Cash Flow per Share(In $),SPG,-,-,-,-,-
Book Value per Share(In $),SPG,7.42,6.14,-,-,-
Net Debt(In $M),SPG,"24,926","24,299","22,621",-,-
Research & Development Exp.(In $M),SPG,-,-,-,-,-
Capital Expenditure(In $M),SPG,474,503,400,-,-
"Selling, General & Admin. Exp.(In $M)",SPG,37,37,-,-,-
Shareholder’s Equity(In $M),SPG,"3,585","6,992","4,353",-,-
Total Assets(In $M),SPG,"36,097","35,496","33,501",-,-
