,ticker,2023,2024,2025,2026,2027
Revenue(In $M),VFC,"11,596","11,904","12,568","13,440","14,285"
Dividend,VFC,1.73,1.21,-,1.51,-
Dividend Yield (in %),VFC,7.08 %,4.94 %,6.19 %,7.23 %,7.65 %
EPS,VFC,2.08,2.19,-,3.04,-
P/E Ratio,VFC,10.76,10.19,8.81,7.36,7.08
EBIT(In $M),VFC,"1,107","1,208",-,"1,593","2,190"
EBITDA(In $M),VFC,"1,381","1,459",-,"1,869","2,120"
Net Profit(In $M),VFC,806,850,-,"1,169",-
Net Profit Adjusted(In $M),VFC,806,849,-,"1,169",-
Pre-Tax Profit(In $M),VFC,-,-,-,"1,407",-
Net Profit (Adjusted)(In $M),VFC,836,"1,057","1,280",-,-
EPS (Non-GAAP) ex. SOE(In $),VFC,2.08,2.19,-,3.04,-
EPS (GAAP)(In $),VFC,0.96,-,-,2.91,-
Gross Income(In $M),VFC,"6,136","6,387","6,808","7,252","8,766"
Cash Flow from Investing(In $M),VFC,-407,-445,-509,-343,-402
Cash Flow from Operations(In $M),VFC,107,"1,296","1,469","1,286","1,327"
Cash Flow from Financing(In $M),VFC,617,"-1,371","-1,215",-724,-661
Cash Flow per Share(In $),VFC,1.11,3.56,3.34,3.44,-
Free Cash Flow(In $M),VFC,-,-,"1,035",957,925
Free Cash Flow per Share(In $),VFC,-0.68,2.30,2.81,2.74,3.44
Book Value per Share(In $),VFC,8.64,9.33,10.38,-,-
Net Debt(In $M),VFC,"5,185","4,516","4,381","4,035","3,770"
Research & Development Exp.(In $M),VFC,-,-,-,-,-
Capital Expenditure(In $M),VFC,208,235,257,307,402
"Selling, General & Admin. Exp.(In $M)",VFC,"5,009","5,123","5,385","5,649","6,577"
Shareholder’s Equity(In $M),VFC,"3,319","3,638","4,040","4,587","5,176"
Total Assets(In $M),VFC,"14,466","14,221","14,348","13,815","14,446"
