,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),920.7,920.7,1629.8,761.6,688.3,IVZ
Depreciation & amortisation(figures in $M),195.3,195.3,205.3,203.5,177.6,IVZ
Stock-based compensation(figures in $M),106.2,106.2,140.1,188.5,207.5,IVZ
Change in working capital(figures in $M),-371.5,-371.5,-294.3,-68.3,185.4,IVZ
Other working capital(figures in $M),510.3,696.2,1078.1,1230.3,992.3,IVZ
Other non-cash items(figures in $M),-247.3,-247.3,-448.3,170.0,-112.1,IVZ
Net cash provided by operating activities(figures in $M),703.2,696.2,1078.1,1230.3,1116.6,IVZ
"Investments in property, plant and equipment(figures in $M)",-192.9,-192.9,-108.8,-115.0,-124.3,IVZ
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,0.0,IVZ
Purchases of investments(figures in $M),-2951.6,-2951.6,-6194.7,-4702.2,-5473.9,IVZ
Sales/maturities of investments(figures in $M),2736.3,2736.3,5410.7,3925.5,3778.2,IVZ
Other investing activities(figures in $M),0.0,0.0,0.0,0.0,26.0,IVZ
Net cash used for investing activities(figures in $M),-375.6,-368.6,-847.9,-865.1,-1425.4,IVZ
Debt repayment(figures in $M),-605.1,-605.1,-2497.3,-791.1,-2150.4,IVZ
Common stock repurchased(figures in $M),-244.7,-244.7,-60.9,-47.1,-469.8,IVZ
Dividends paid(figures in $M),-571.6,-571.6,-544.5,-594.2,-652.7,IVZ
Other financing activities(figures in $M),424.4,424.4,-191.9,-121.5,125.4,IVZ
Net cash used provided by (used for) financing activities(figures in $M),-966.9,-966.9,117.3,-285.9,201.3,IVZ
Net change in cash(figures in $M),-639.3,-639.3,347.5,79.3,-107.5,IVZ
Cash at beginning of period(figures in $M),2147.1,2147.1,1839.3,1701.2,1805.4,IVZ
Cash at end of period(figures in $M),1434.1,1434.1,2147.1,1839.3,1701.2,IVZ
Operating cash flow(figures in $M),703.2,696.2,1078.1,1230.3,1116.6,IVZ
Capital expenditure(figures in $M),-192.9,-192.9,-108.8,-115.0,-124.3,IVZ
Free cash flow(figures in $M),510.3,696.2,1078.1,1230.3,992.3,IVZ
