,ticker,2023,2024,2025
Revenue(In $M),IVZ,"4,485","4,736","4,897"
Dividend,IVZ,0.80,0.85,0.89
Dividend Yield (in %),IVZ,4.87 %,5.21 %,5.27 %
EPS,IVZ,1.69,1.94,2.20
P/E Ratio,IVZ,9.53,8.30,7.29
EBIT(In $M),IVZ,"1,451","1,601","1,766"
EBITDA(In $M),IVZ,"1,559","1,747","1,970"
Net Profit(In $M),IVZ,776,896,"1,021"
Net Profit Adjusted(In $M),IVZ,776,896,"1,021"
Pre-Tax Profit(In $M),IVZ,"1,429","1,616","1,743"
Net Profit (Adjusted)(In $M),IVZ,"1,290","1,487","1,454"
EPS (Non-GAAP) ex. SOE(In $),IVZ,1.69,1.94,2.20
EPS (GAAP)(In $),IVZ,1.67,1.98,2.14
Gross Income(In $M),IVZ,-,-,-
Cash Flow from Investing(In $M),IVZ,-,-,-
Cash Flow from Operations(In $M),IVZ,"1,643","1,792",-
Cash Flow from Financing(In $M),IVZ,-,-,-
Cash Flow per Share(In $),IVZ,2.60,2.98,3.03
Free Cash Flow(In $M),IVZ,823,915,-
Free Cash Flow per Share(In $),IVZ,3.83,4.22,-
Book Value per Share(In $),IVZ,32.10,32.97,33.54
Net Debt(In $M),IVZ,"3,412","3,169",931
Research & Development Exp.(In $M),IVZ,569,570,525
Capital Expenditure(In $M),IVZ,0,0,-
"Selling, General & Admin. Exp.(In $M)",IVZ,"3,035","3,088",-
Shareholder’s Equity(In $M),IVZ,"15,322","16,571","16,997"
Total Assets(In $M),IVZ,"29,909","30,279","31,171"
