,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),IVZ,6048.9,6048.9,6894.5,6145.6,6117.4
Cost of revenue(figures in $M),IVZ,1725.1,1725.1,1911.3,1807.9,1709.3
Gross profit(figures in $M),IVZ,4323.8,4323.8,4983.2,4337.7,4408.1
Selling general and administrative(figures in $M),IVZ,2921.1,2381.3,3198.0,3024.0,2926.9
Total operating expenses(figures in $M),IVZ,2984.9,2984.9,3260.9,3024.0,2926.9
Operating income or loss(figures in $M),IVZ,1338.9,1338.9,1722.3,1313.7,1481.2
Interest expense(figures in $M),IVZ,85.2,85.2,94.7,129.3,135.7
Total other income/expenses net(figures in $M),IVZ,-30.4,-30.4,847.7,-135.8,-401.1
Income before tax(figures in $M),IVZ,1247.7,1247.7,2500.5,1069.1,972.9
Income tax expense(figures in $M),IVZ,322.2,322.2,531.1,261.6,235.1
Income from continuing operations(figures in $M),IVZ,925.5,925.5,1969.4,807.5,737.8
Net income(figures in $M),IVZ,920.7,920.7,1629.8,761.6,688.3
Net income available to common shareholders(figures in $M),IVZ,683.9,683.9,1393.0,524.8,564.7
Basic EPS(figures in $M),IVZ,,,3.01e-06,1.1399999999999999e-06,1.29e-06
Diluted EPS(figures in $M),IVZ,,,2.99e-06,1.13e-06,1.28e-06
Basic average shares(figures in $M),IVZ,,,462.791,459.5,437.8
Diluted average shares(figures in $M),IVZ,,,465.886,462.5,440.5
EBITDA(figures in $M),IVZ,,1396.7,2658.1,1198.4,1108.6
