,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),LMT,65984.0,65984.0,67044.0,65398.0,59812.0
Cost of revenue(figures in $M),LMT,57697.0,57697.0,57983.0,56744.0,51445.0
Gross profit(figures in $M),LMT,8287.0,8287.0,9061.0,8654.0,8367.0
Total operating expenses(figures in $M),LMT,-61.0,-61.0,-62.0,10.0,-178.0
Operating income or loss(figures in $M),LMT,8348.0,8348.0,9123.0,8644.0,8367.0
Interest expense(figures in $M),LMT,623.0,623.0,569.0,591.0,653.0
Total other income/expenses net(figures in $M),LMT,-1045.0,-1045.0,-1004.0,182.0,-473.0
Income before tax(figures in $M),LMT,6680.0,6680.0,7550.0,8235.0,7241.0
Income tax expense(figures in $M),LMT,948.0,948.0,1235.0,1347.0,1011.0
Income from continuing operations(figures in $M),LMT,5732.0,5732.0,6315.0,6888.0,6230.0
Net income(figures in $M),LMT,5732.0,5732.0,6315.0,6833.0,6230.0
Net income available to common shareholders(figures in $M),LMT,5732.0,5732.0,6315.0,6833.0,6230.0
Basic EPS(figures in $M),LMT,,,2.2760000000000002e-05,2.44e-05,2.209e-05
Diluted EPS(figures in $M),LMT,,,2.2760000000000002e-05,2.43e-05,2.1949999999999998e-05
Basic average shares(figures in $M),LMT,,,276.4,280.0,282.0
Diluted average shares(figures in $M),LMT,,,277.4,281.2,283.8
EBITDA(figures in $M),LMT,,8707.0,9483.0,10116.0,9083.0
