,ticker,2023,2024,2025,2026,2027
Revenue(In $M),LMT,"65,790","67,901","70,577","73,309","76,215"
Dividend,LMT,12.19,12.99,12.59,-,-
Dividend Yield (in %),LMT,2.54 %,2.69 %,2.61 %,-,-
EPS,LMT,27.12,27.83,28.62,29.97,31.05
P/E Ratio,LMT,16.54,16.12,15.67,14.97,14.45
EBIT(In $M),LMT,"8,484","8,600","8,849","9,031","9,273"
EBITDA(In $M),LMT,"9,875","10,015","10,309","10,888","9,834"
Net Profit(In $M),LMT,"6,855","6,928","7,114","7,172","7,353"
Net Profit Adjusted(In $M),LMT,"6,864","6,946","7,203","7,097","7,353"
Pre-Tax Profit(In $M),LMT,"8,093","8,214","8,457","8,378","8,671"
Net Profit (Adjusted)(In $M),LMT,"8,107","8,262","8,465",-,-
EPS (Non-GAAP) ex. SOE(In $),LMT,27.12,27.83,28.62,29.97,31.05
EPS (GAAP)(In $),LMT,27.07,28.19,29.44,29.55,31.05
Gross Income(In $M),LMT,"8,495","8,620","8,496",-,-
Cash Flow from Investing(In $M),LMT,"-1,861","-1,845","-1,885","-2,128","-2,440"
Cash Flow from Operations(In $M),LMT,"8,043","8,158","8,168","8,858","9,507"
Cash Flow from Financing(In $M),LMT,"-6,999","-6,507","-6,318","-6,604","-6,722"
Cash Flow per Share(In $),LMT,31.12,32.57,33.15,-,-
Free Cash Flow(In $M),LMT,"6,271","6,409","6,405","6,905","7,229"
Free Cash Flow per Share(In $),LMT,25.16,26.56,26.98,27.89,-
Book Value per Share(In $),LMT,38.43,40.72,47.16,-,-
Net Debt(In $M),LMT,"13,879","13,982","13,488","12,190",-
Research & Development Exp.(In $M),LMT,400,300,200,-,-
Capital Expenditure(In $M),LMT,"1,862","1,851","1,835","1,952","2,278"
"Selling, General & Admin. Exp.(In $M)",LMT,-,-,-,-,-
Shareholder’s Equity(In $M),LMT,"9,170","9,835","10,822","14,265","18,259"
Total Assets(In $M),LMT,"53,098","53,763","54,376","55,755","57,743"
