,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),LOW,"97,352","88,594","90,436","93,616","98,702","101,419"
Dividend,LOW,3.80,4.33,4.73,5.12,6.50,7.28
Dividend Yield (in %),LOW,1.93 %,2.20 %,2.40 %,2.60 %,3.30 %,3.70 %
EPS,LOW,13.74,13.69,14.88,16.43,19.06,20.65
P/E Ratio,LOW,14.96,15.02,13.82,12.51,10.79,9.95
EBIT(In $M),LOW,-,"11,984","12,336","13,015","14,290","14,845"
EBITDA(In $M),LOW,"14,539","13,719","14,121","14,831","16,039","15,988"
Net Profit(In $M),LOW,"8,712","7,977","8,207","8,744","9,772","10,144"
Net Profit Adjusted(In $M),LOW,"8,714","7,964","8,163","8,655","9,772","10,144"
Pre-Tax Profit(In $M),LOW,"11,542","10,623","10,923","11,623","13,029","13,525"
Net Profit (Adjusted)(In $M),LOW,"11,561","10,499","10,742","11,473",-,-
EPS (Non-GAAP) ex. SOE(In $),LOW,13.74,13.69,14.88,16.43,19.06,20.65
EPS (GAAP)(In $),LOW,11.68,13.61,14.68,16.16,18.93,20.58
Gross Income(In $M),LOW,"32,485","29,445","30,011","30,999","33,084","34,013"
Cash Flow from Investing(In $M),LOW,"-1,717","-1,957","-1,858","-1,734","-1,670","-1,691"
Cash Flow from Operations(In $M),LOW,"11,079","11,431","10,472","11,468","11,762","12,339"
Cash Flow from Financing(In $M),LOW,"-7,279","-7,721","-7,293","-9,230","-8,111","-8,023"
Cash Flow per Share(In $),LOW,16.39,19.23,17.67,19.71,-,-
Free Cash Flow(In $M),LOW,"8,371","8,011","8,461","9,430","10,879","11,614"
Free Cash Flow per Share(In $),LOW,13.24,14.21,16.52,19.22,20.82,22.99
Book Value per Share(In $),LOW,-19.80,-25.49,-24.97,-28.50,-,-
Net Debt(In $M),LOW,"32,015","33,166","34,147","35,377",-,-
Research & Development Exp.(In $M),LOW,-,-,-,-,-,-
Capital Expenditure(In $M),LOW,"1,883","1,948","1,877","1,823","1,805","1,841"
"Selling, General & Admin. Exp.(In $M)",LOW,"18,043","15,984","16,142","16,400","16,904","17,299"
Shareholder’s Equity(In $M),LOW,"-12,732","-14,918","-14,829","-16,126","-19,054","-19,417"
Total Assets(In $M),LOW,"45,968","43,087","45,468","45,889","50,042","55,291"
