,2014,2013,2012,2011,ticker
Current ratio,1.267,0.912,1.002,0.894,DTV
Quick ratio,1.349,0.724,1.139,1.072,DTV
Cash ratio,0.666,0.334,0.343,0.184,DTV
Days of sales outstanding,30.728,29.277,33.088,33.167,DTV
Days of inventory outstanding,0,0,0,0,DTV
Days of payables outstanding,0,0,0,0,DTV
Gross profit margin,1,1,1,1,DTV
Operating profit margin,0.154,0.162,0.171,0.170,DTV
Pretax profit margin,0.134,0.141,0.149,0.146,DTV
Net profit margin,0.083,0.090,0.099,0.096,DTV
Effective tax rate,0.376,0.357,0.330,0.338,DTV
Return on assets,0.108,0.131,0.143,0.142,DTV
Return on equity,-0.529,-0.437,-0.543,-0.840,DTV
Return on capital employed,0.277,0.335,0.339,0.338,DTV
Net income per EBT,0.620,0.637,0.664,0.655,DTV
Ebt per ebit,0.867,0.871,0.874,0.861,DTV
Ebit per revenue,0.154,0.162,0.171,0.170,DTV
Debt ratio,1.205,1.299,1.264,1.169,DTV
Debt equity ratio,-5.884,-4.347,-4.785,-6.930,DTV
Long term debt to capitalization,1.365,1.557,1.463,1.300,DTV
Total debt to capitalization,1.334,1.504,1.449,1.297,DTV
Interest coverage,5.710,6.131,6.039,6.067,DTV
Cash flow to debt ratio,0.306,0.327,0.321,0.382,DTV
Company equity multiplier,-4.884,-3.347,-3.785,-5.930,DTV
Receivables turnover,11.879,12.467,11.031,11.005,DTV
Payables turnover,0,0,0,0,DTV
Inventory turnover,0,0,0,0,DTV
Fixed asset turnover,4.949,4.775,4.925,5.213,DTV
Asset turnover,1.306,1.450,1.447,1.478,DTV
Operating cash flow per share,12.612,11.668,8.831,6.941,DTV
Free cash flow per share,6.790,5.447,4.191,3.027,DTV
Cash per share,13.051,3.980,5.663,3.495,DTV
Payout ratio,0,0,0,0,DTV
Operating cash flow sales ratio,0.191,0.201,0.189,0.190,DTV
Free cash flow operating cash flow ratio,0.538,0.467,0.475,0.436,DTV
Cash flow coverage ratios,0.306,0.327,0.321,0.382,DTV
Short term coverage ratios,4.800,5.091,15.737,54.010,DTV
Capital expenditure coverage ratio,-2.166,-1.876,-1.903,-1.773,DTV
Dividend paid and capex coverage ratio,-2.166,-1.876,-1.903,-1.773,DTV
Dividend payout ratio,0,0,0,0,DTV
Price book value ratio,-4.976,-4.302,-6.035,-12.351,DTV
Price to book ratio,-4.976,-4.302,-6.035,-12.351,DTV
Price to sales ratio,0.780,0.887,1.102,1.409,DTV
Price earnings ratio,9.413,9.846,11.114,14.708,DTV
Price to free cash flows ratio,7.565,9.431,12.257,16.972,DTV
Price to operating cash flows ratio,4.073,4.403,5.817,7.401,DTV
Price cash flow ratio,4.073,4.403,5.817,7.401,DTV
Price earnings to growth ratio,2.044,0.765,0.344,0,DTV
Price sales ratio,0.780,0.887,1.102,1.409,DTV
Dividend yield,0,0,0,0,DTV
Enterprise value multiple,5.093,5.598,6.291,7.223,DTV
Price fair value,-4.976,-4.302,-6.035,-12.351,DTV
