,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AMGN,"27,453","29,772","30,513","31,577","31,238"
Dividend,AMGN,8.46,9.14,9.76,10.35,11.06
Dividend Yield (in %),AMGN,3.67 %,3.97 %,4.27 %,4.56 %,4.95 %
EPS,AMGN,18.04,19.23,20.44,21.18,21.53
P/E Ratio,AMGN,12.86,12.07,11.35,10.96,10.78
EBIT(In $M),AMGN,"13,269","14,216","14,556","15,394","15,403"
EBITDA(In $M),AMGN,"16,118","16,133","15,812","18,146","20,786"
Net Profit(In $M),AMGN,"9,677","10,308","10,946","11,284","11,297"
Net Profit Adjusted(In $M),AMGN,"9,677","10,308","10,946","11,284","11,297"
Pre-Tax Profit(In $M),AMGN,"11,723","12,479","13,169","13,875","14,009"
Net Profit (Adjusted)(In $M),AMGN,"8,060","9,086","9,010","8,990",-
EPS (Non-GAAP) ex. SOE(In $),AMGN,18.32,21.37,23.20,23.16,22.95
EPS (GAAP)(In $),AMGN,15.07,15.50,15.30,16.04,16.21
Gross Income(In $M),AMGN,"22,676","25,284","25,658","26,905","27,360"
Cash Flow from Investing(In $M),AMGN,"-6,167",394,690,"-1,236",-802
Cash Flow from Operations(In $M),AMGN,"10,777","11,318","10,448","11,990","10,499"
Cash Flow from Financing(In $M),AMGN,"8,047","-7,627","-8,754","-9,589","-6,047"
Cash Flow per Share(In $),AMGN,21.81,22.82,16.36,-,-
Free Cash Flow(In $M),AMGN,"10,104","11,744","9,898","13,547","12,808"
Free Cash Flow per Share(In $),AMGN,-,-,-,-,-
Book Value per Share(In $),AMGN,12.54,14.56,16.55,4.06,-
Net Debt(In $M),AMGN,"25,039","20,929","17,783",-,-
Research & Development Exp.(In $M),AMGN,"4,626","5,011","5,162","5,287","5,342"
Capital Expenditure(In $M),AMGN,835,782,779,770,819
"Selling, General & Admin. Exp.(In $M)",AMGN,"5,487","5,983","6,083","6,189","5,984"
Shareholder’s Equity(In $M),AMGN,"6,691","8,687","11,804","15,557","24,351"
Total Assets(In $M),AMGN,"84,653","84,165","82,105","82,394","88,862"
