,ticker,2023,2024,2025,2026,2027
Revenue(In $M),KMB,"20,646","21,136","21,644","22,514","22,721"
Dividend,KMB,4.76,4.97,5.21,5.54,5.68
Dividend Yield (in %),KMB,3.83 %,3.98 %,4.11 %,4.26 %,-
EPS,KMB,6.22,7.03,7.54,8.61,8.12
P/E Ratio,KMB,23.23,20.56,19.16,16.77,17.80
EBIT(In $M),KMB,"2,976","3,292","3,475","3,854","3,614"
EBITDA(In $M),KMB,"3,750","4,101","4,346","5,059",-
Net Profit(In $M),KMB,"2,112","2,381","2,532","3,265","3,466"
Net Profit Adjusted(In $M),KMB,"2,111","2,382","2,544","3,179",-
Pre-Tax Profit(In $M),KMB,"2,657","3,000","3,195","3,622","3,338"
Net Profit (Adjusted)(In $M),KMB,"2,588","2,989","3,150","3,497","3,338"
EPS (Non-GAAP) ex. SOE(In $),KMB,6.22,7.03,7.54,8.61,8.12
EPS (GAAP)(In $),KMB,6.05,6.91,7.37,8.51,-
Gross Income(In $M),KMB,"6,828","7,269","7,533","8,449",-
Cash Flow from Investing(In $M),KMB,-493,-683,-670,-913,-
Cash Flow from Operations(In $M),KMB,"3,005","3,428","3,655","4,140",-
Cash Flow from Financing(In $M),KMB,"-1,679","-1,987","-2,218","-1,909",-
Cash Flow per Share(In $),KMB,8.83,9.74,10.49,11.23,10.76
Free Cash Flow(In $M),KMB,"2,056","2,283","2,471","2,039",-
Free Cash Flow per Share(In $),KMB,6.56,7.86,8.47,-,-
Book Value per Share(In $),KMB,3.48,5.07,7.03,8.34,3.56
Net Debt(In $M),KMB,"7,690","7,351","7,005","5,648","7,645"
Research & Development Exp.(In $M),KMB,324,332,342,352,-
Capital Expenditure(In $M),KMB,858,983,"1,025",956,"1,022"
"Selling, General & Admin. Exp.(In $M)",KMB,"3,891","4,080","4,212",-,-
Shareholder’s Equity(In $M),KMB,"1,313","1,784","2,337","2,799","1,169"
Total Assets(In $M),KMB,"18,743","19,328","19,897","22,407",-
