,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),KMB,20175.0,20175.0,19440.0,19140.0,18450.0
Cost of revenue(figures in $M),KMB,13956.0,13956.0,13452.0,12318.0,12415.0
Gross profit(figures in $M),KMB,6219.0,6219.0,5988.0,6822.0,6035.0
Selling general and administrative(figures in $M),KMB,3581.0,3581.0,3399.0,3632.0,3254.0
Total operating expenses(figures in $M),KMB,3538.0,3538.0,3427.0,3578.0,3044.0
Operating income or loss(figures in $M),KMB,2681.0,2681.0,2561.0,3244.0,2991.0
Interest expense(figures in $M),KMB,282.0,282.0,256.0,252.0,261.0
Total other income/expenses net(figures in $M),KMB,-73.0,-73.0,-86.0,-70.0,-91.0
Income before tax(figures in $M),KMB,2340.0,2340.0,2225.0,2930.0,2650.0
Income tax expense(figures in $M),KMB,495.0,495.0,479.0,676.0,576.0
Income from continuing operations(figures in $M),KMB,1961.0,1961.0,1844.0,2396.0,2197.0
Net income(figures in $M),KMB,1934.0,1934.0,1814.0,2352.0,2157.0
Net income available to common shareholders(figures in $M),KMB,1934.0,1934.0,1814.0,2352.0,2157.0
Basic EPS(figures in $M),KMB,,5.73e-06,5.38e-06,6.9e-06,6.28e-06
Diluted EPS(figures in $M),KMB,,5.7199999999999994e-06,5.35e-06,6.87e-06,6.24e-06
Basic average shares(figures in $M),KMB,,337.4,337.3,340.7,343.6
Diluted average shares(figures in $M),KMB,,338.3,338.8,342.5,345.6
EBITDA(figures in $M),KMB,,3376.0,3247.0,3978.0,3828.0
