,ticker,2023,2024,2025,2026
Revenue(In $M),VTR,"4,307","4,575","4,615","5,417"
Dividend,VTR,1.85,1.95,2.22,2.16
Dividend Yield (in %),VTR,4.08 %,4.32 %,5.16 %,4.68 %
EPS,VTR,-0.29,-0.08,0.06,0.66
P/E Ratio,VTR,-165.27,-619.14,774.93,72.19
EBIT(In $M),VTR,430,544,630,791
EBITDA(In $M),VTR,"1,753","1,881","1,919","1,932"
Net Profit(In $M),VTR,-106,-16,32,285
Net Profit Adjusted(In $M),VTR,-82,15,40,-
Pre-Tax Profit(In $M),VTR,-96,-2,59,-
Net Profit (Adjusted)(In $M),VTR,-134,8,91,-
EPS (Non-GAAP) ex. SOE(In $),VTR,-0.21,0.25,0.48,-
EPS (GAAP)(In $),VTR,-0.29,-0.08,0.06,0.66
Gross Income(In $M),VTR,"1,889","2,045","2,086",-
Cash Flow from Investing(In $M),VTR,"-1,428",-743,-,-
Cash Flow from Operations(In $M),VTR,"1,473","1,596","2,013",-
Cash Flow from Financing(In $M),VTR,-684,-559,-,-
Cash Flow per Share(In $),VTR,3.44,3.68,4.23,-
Free Cash Flow(In $M),VTR,"1,658","1,797","2,013","1,464"
Free Cash Flow per Share(In $),VTR,-,-,-,-
Book Value per Share(In $),VTR,31.03,29.09,27.30,-
Net Debt(In $M),VTR,"12,814","12,699","12,508",-
Research & Development Exp.(In $M),VTR,-,-,-,-
Capital Expenditure(In $M),VTR,198,198,-,-
"Selling, General & Admin. Exp.(In $M)",VTR,151,155,-,-
Shareholder’s Equity(In $M),VTR,"11,292","10,600","10,726","14,991"
Total Assets(In $M),VTR,"24,663","24,119","20,336","30,466"
