,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),VTR,4129.193,4129.193,3828.007,3795.357,3872.75
Cost of revenue(figures in $M),VTR,2282.918,2282.918,2088.497,1939.758,1810.527
Gross profit(figures in $M),VTR,1846.275,1846.275,1739.51,1855.599,2062.223
Selling general and administrative(figures in $M),VTR,144.874,144.874,129.758,130.158,165.996
Total operating expenses(figures in $M),VTR,1362.429,1362.429,1318.079,1264.159,1211.616
Operating income or loss(figures in $M),VTR,483.846,483.846,421.431,591.44,850.607
Interest expense(figures in $M),VTR,467.557,467.557,440.089,469.541,451.662
Total other income/expenses net(figures in $M),VTR,-74.146,-74.146,80.044,222.752,-15.958
Income before tax(figures in $M),VTR,-57.857,-57.857,61.386,344.651,382.987
Income tax expense(figures in $M),VTR,-16.926,-16.926,4.827,-96.534,-56.31
Income from continuing operations(figures in $M),VTR,-40.931,-40.931,56.559,441.185,439.297
Net income(figures in $M),VTR,-47.447,-47.447,49.008,439.149,433.016
Net income available to common shareholders(figures in $M),VTR,-47.447,-47.447,49.008,439.149,433.016
Basic EPS(figures in $M),VTR,,-1.2e-07,1.3e-07,1.18e-06,1.18e-06
Diluted EPS(figures in $M),VTR,,-1.2e-07,1.3e-07,1.17e-06,1.17e-06
Basic average shares(figures in $M),VTR,,399.549,382.785,373.368,365.977
Diluted average shares(figures in $M),VTR,,403.454,386.304,376.503,369.886
EBITDA(figures in $M),VTR,,1607.498,1716.587,1944.674,1903.254
