,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31,ticker
Net income(figures in $M),-274.298,-274.298,-290.138,-83.515,-53.37,HCP
Depreciation & amortisation(figures in $M),4.588,4.588,2.498,0.888,0.235,HCP
Stock-based compensation(figures in $M),171.161,171.161,200.568,39.223,9.461,HCP
Change in working capital(figures in $M),11.228,11.228,28.461,1.626,14.041,HCP
Accounts receivable(figures in $M),-35.556,-35.556,-33.364,-41.407,-27.698,HCP
Accounts payable(figures in $M),-1.817,-1.817,8.464,1.093,2.423,HCP
Other working capital(figures in $M),-93.46,-93.46,-62.811,-46.847,-29.345,HCP
Other non-cash items(figures in $M),2.859,2.859,2.396,2.155,1.268,HCP
Net cash provided by operating activities(figures in $M),-84.462,-84.462,-56.215,-39.623,-28.365,HCP
"Investments in property, plant and equipment(figures in $M)",-8.998,-8.998,-6.596,-7.224,-0.98,HCP
Purchases of investments(figures in $M),0.0,0.0,0.0,-50.0,-120.0,HCP
Sales/maturities of investments(figures in $M),0.0,0.0,0.0,80.0,167.0,HCP
Net cash used for investing activities(figures in $M),-8.998,-8.998,-6.596,22.776,46.02,HCP
Common stock issued(figures in $M),0.0,0.0,1252.974,0.0,0.0,HCP
Other financing activities(figures in $M),-0.248,-0.248,-110.164,-0.229,0.0,HCP
Net cash used provided by (used for) financing activities(figures in $M),21.983,21.983,1147.846,177.124,1.071,HCP
Net change in cash(figures in $M),-71.477,-71.477,1085.035,160.277,18.726,HCP
Cash at beginning of period(figures in $M),1357.611,1357.611,272.576,112.299,93.573,HCP
Cash at end of period(figures in $M),1286.134,1286.134,1357.611,272.576,112.299,HCP
Operating cash flow(figures in $M),-84.462,-84.462,-56.215,-39.623,-28.365,HCP
Capital expenditure(figures in $M),-8.998,-8.998,-6.596,-7.224,-0.98,HCP
Free cash flow(figures in $M),-93.46,-93.46,-62.811,-46.847,-29.345,HCP
