,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),HCP,464,593,749,943,"1,150","1,393"
Dividend,HCP,0.00,-,-,0.00,-,-
Dividend Yield (in %),HCP,-,-,-,-,-,-
EPS,HCP,-0.70,-,-,0.18,0.38,0.73
P/E Ratio,HCP,-38.44,-68.24,-304.02,150.75,71.15,37.04
EBIT(In $M),HCP,-150,-135,-59,-2,84,186
EBITDA(In $M),HCP,-207,-129,-43,-,-,-
Net Profit(In $M),HCP,-132,-77,-18,40,96,185
Net Profit Adjusted(In $M),HCP,-132,-77,-18,40,96,185
Pre-Tax Profit(In $M),HCP,-131,-76,-17,42,112,218
Net Profit (Adjusted)(In $M),HCP,-316,-282,-289,-,-,-
EPS (Non-GAAP) ex. SOE(In $),HCP,-0.70,-,-,0.18,0.38,0.73
EPS (GAAP)(In $),HCP,-1.69,-1.40,-1.40,-1.14,-,-
Gross Income(In $M),HCP,392,496,620,752,931,"1,136"
Cash Flow from Investing(In $M),HCP,-8,-10,-12,-18,-,-
Cash Flow from Operations(In $M),HCP,-106,-61,1,77,-,-
Cash Flow from Financing(In $M),HCP,10,6,6,14,-,-
Cash Flow per Share(In $),HCP,-0.67,-0.29,-0.04,-,-,-
Free Cash Flow(In $M),HCP,-113,-66,-6,58,-,-
Free Cash Flow per Share(In $),HCP,-0.65,-0.39,0.04,-,-,-
Book Value per Share(In $),HCP,6.19,5.80,5.52,5.90,-,-
Net Debt(In $M),HCP,"-1,299","-1,281","-1,275","-1,436",-,-
Research & Development Exp.(In $M),HCP,152,178,193,210,235,262
Capital Expenditure(In $M),HCP,1,2,3,1,-,-
"Selling, General & Admin. Exp.(In $M)",HCP,389,440,529,-,-,-
Shareholder’s Equity(In $M),HCP,"1,164","1,114","1,078","1,098",-,-
Total Assets(In $M),HCP,"1,617","1,672","1,775","2,015",-,-
