,ticker,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Cash and cash equivalents(figures in $M),HCP,1286.134,1355.828,270.793,110.519
Other short-term investments(figures in $M),HCP,0.0,0.0,0.0,30.0
Total cash(figures in $M),HCP,1286.134,1355.828,270.793,140.519
Net receivables(figures in $M),HCP,162.369,126.812,93.462,52.112
Other current assets(figures in $M),HCP,17.683,17.744,4.574,7.36
Total current assets(figures in $M),HCP,1508.998,1532.589,384.104,208.745
"Gross property, plant and equipment(figures in $M)",HCP,37.154,31.317,25.278,21.435
Accumulated depreciation(figures in $M),HCP,-8.281,-3.773,-1.277,-0.389
"Net property, plant and equipment(figures in $M)",HCP,37.154,31.317,24.001,21.046
Other long-term assets(figures in $M),HCP,0.902,2.643,2.189,1.824
Total non-current assets(figures in $M),HCP,119.342,91.086,61.16,44.377
Total assets(figures in $M),HCP,1628.34,1623.675,445.264,253.122
Accounts payable(figures in $M),HCP,12.45,14.267,5.203,5.393
Taxes payable(figures in $M),HCP,1.081,0.611,0.354,0.445
Accrued liabilities(figures in $M),HCP,6.783,4.542,0.569,0.753
Deferred revenues(figures in $M),HCP,299.608,229.799,158.31,107.545
Other current liabilities(figures in $M),HCP,0.0,0.006,0.024,0.13
Total current liabilities(figures in $M),HCP,380.849,308.677,187.253,127.903
Deferred revenues(figures in $M),HCP,29.335,16.873,11.206,11.724
Other long-term liabilities(figures in $M),HCP,0.713,0.351,2.741,0.108
Total non-current liabilities(figures in $M),HCP,42.141,32.707,379.815,205.459
Total liabilities(figures in $M),HCP,422.99,341.384,567.068,333.362
Common stock(figures in $M),HCP,0.003,0.003,0.001,0.001
Retained earnings(figures in $M),HCP,-780.4,-506.102,-215.964,-132.449
Total stockholders' equity(figures in $M),HCP,1205.35,1282.291,-121.804,-80.24
Total liabilities and stockholders' equity(figures in $M),HCP,1628.34,1623.675,445.264,253.122
