,ticker,2023,2024,2025
Revenue(In $M),PAYX,"4,993","5,310","5,600"
Dividend,PAYX,3.18,3.27,3.48
Dividend Yield (in %),PAYX,2.92 %,3.00 %,3.21 %
EPS,PAYX,-,-,-
P/E Ratio,PAYX,25.60,23.81,22.15
EBIT(In $M),PAYX,"2,041","2,187","2,344"
EBITDA(In $M),PAYX,"2,219","2,377","2,574"
Net Profit(In $M),PAYX,"1,557","1,667","1,786"
Net Profit Adjusted(In $M),PAYX,"1,553","1,665","1,800"
Pre-Tax Profit(In $M),PAYX,"2,052","2,201","2,359"
Net Profit (Adjusted)(In $M),PAYX,"2,048","2,192","2,360"
EPS (Non-GAAP) ex. SOE(In $),PAYX,-,-,-
EPS (GAAP)(In $),PAYX,4.30,4.59,4.92
Gross Income(In $M),PAYX,"3,546","3,755","3,986"
Cash Flow from Investing(In $M),PAYX,263,-254,-158
Cash Flow from Operations(In $M),PAYX,"1,876","1,909","2,053"
Cash Flow from Financing(In $M),PAYX,"-2,369","-1,174","-1,414"
Cash Flow per Share(In $),PAYX,5.61,5.32,5.79
Free Cash Flow(In $M),PAYX,"1,799","1,742","1,881"
Free Cash Flow per Share(In $),PAYX,3.98,-,-
Book Value per Share(In $),PAYX,10.32,11.14,12.68
Net Debt(In $M),PAYX,-880,"-1,264","-2,470"
Research & Development Exp.(In $M),PAYX,-,-,-
Capital Expenditure(In $M),PAYX,155,164,181
"Selling, General & Admin. Exp.(In $M)",PAYX,"1,513","1,590","1,655"
Shareholder’s Equity(In $M),PAYX,"3,623","4,173","5,062"
Total Assets(In $M),PAYX,"10,589","11,585","12,585"
