,ticker,2023,2024,2025,2026,2027
Revenue(In $M),JNJ,"98,648","100,841","103,543","106,028","110,462"
Dividend,JNJ,4.75,4.95,5.20,5.54,5.83
Dividend Yield (in %),JNJ,3.06 %,3.21 %,3.36 %,3.60 %,3.79 %
EPS,JNJ,10.64,10.98,11.40,11.78,12.33
P/E Ratio,JNJ,15.32,14.85,14.30,13.84,13.22
EBIT(In $M),JNJ,"31,612","32,493","33,508","34,668","36,393"
EBITDA(In $M),JNJ,"35,316","36,327","37,868","38,185",-
Net Profit(In $M),JNJ,"28,057","28,745","29,717","30,393","31,751"
Net Profit Adjusted(In $M),JNJ,"28,057","28,745","29,717","30,393","31,751"
Pre-Tax Profit(In $M),JNJ,"33,399","34,079","34,584","36,132","37,767"
Net Profit (Adjusted)(In $M),JNJ,"26,775","28,874","30,593","26,738","27,480"
EPS (Non-GAAP) ex. SOE(In $),JNJ,-,-,9.24,9.49,-
EPS (GAAP)(In $),JNJ,6.52,8.58,9.81,9.16,9.39
Gross Income(In $M),JNJ,"70,416","72,240","74,216","77,821","80,944"
Cash Flow from Investing(In $M),JNJ,"-2,501","-2,800","-2,884","-2,299","-5,833"
Cash Flow from Operations(In $M),JNJ,"24,796","28,239","30,728","30,445","33,897"
Cash Flow from Financing(In $M),JNJ,"-14,214","-17,358","-17,823","-19,536","-20,097"
Cash Flow per Share(In $),JNJ,11.53,11.75,12.11,-,-
Free Cash Flow(In $M),JNJ,"23,038","24,905","26,871","26,437",-
Free Cash Flow per Share(In $),JNJ,6.20,7.85,8.57,-,-
Book Value per Share(In $),JNJ,34.50,37.63,41.13,30.13,31.31
Net Debt(In $M),JNJ,"6,310","-1,680","-11,746","-22,019",-
Research & Development Exp.(In $M),JNJ,"14,518","14,867","15,289","15,640","15,992"
Capital Expenditure(In $M),JNJ,"3,925","3,893","3,957","3,953","3,886"
"Selling, General & Admin. Exp.(In $M)",JNJ,"25,259","25,758","26,432","26,973","27,695"
Shareholder’s Equity(In $M),JNJ,"81,349","87,798","95,250","106,453","115,953"
Total Assets(In $M),JNJ,"190,990","197,183","204,002","214,311","223,137"
