,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),GT,20805.0,20805.0,17478.0,12321.0,14745.0
Cost of revenue(figures in $M),GT,16953.0,16953.0,13692.0,10337.0,11602.0
Gross profit(figures in $M),GT,3852.0,3852.0,3786.0,1984.0,3143.0
Selling general and administrative(figures in $M),GT,2798.0,2798.0,2699.0,2192.0,2323.0
Total operating expenses(figures in $M),GT,2798.0,2798.0,2699.0,2192.0,2323.0
Operating income or loss(figures in $M),GT,1054.0,1054.0,1087.0,-208.0,820.0
Interest expense(figures in $M),GT,451.0,451.0,387.0,324.0,340.0
Total other income/expenses net(figures in $M),GT,-198.0,-198.0,-187.0,-608.0,-303.0
Income before tax(figures in $M),GT,399.0,399.0,513.0,-1140.0,177.0
Income tax expense(figures in $M),GT,190.0,190.0,-267.0,110.0,474.0
Income from continuing operations(figures in $M),GT,209.0,209.0,780.0,-1250.0,-297.0
Net income(figures in $M),GT,202.0,202.0,764.0,-1254.0,-311.0
Net income available to common shareholders(figures in $M),GT,202.0,202.0,764.0,-1254.0,-311.0
Basic EPS(figures in $M),GT,,,2.92e-06,-5.35e-06,-1.33e-06
Diluted EPS(figures in $M),GT,,,2.8900000000000003e-06,-5.35e-06,-1.33e-06
Basic average shares(figures in $M),GT,,,261.0,234.0,233.0
Diluted average shares(figures in $M),GT,,,264.0,234.0,233.0
EBITDA(figures in $M),GT,,1814.0,1783.0,43.0,1312.0
