,ticker,2023,2024,2025
Revenue(In $M),GT,"21,500","22,133","22,726"
Dividend,GT,0.00,0.00,0.00
Dividend Yield (in %),GT,0.28 %,0.36 %,3.45 %
EPS,GT,0.96,1.71,2.00
P/E Ratio,GT,11.41,6.39,5.47
EBIT(In $M),GT,"1,042","1,260","1,341"
EBITDA(In $M),GT,"1,972","2,231","2,327"
Net Profit(In $M),GT,263,463,567
Net Profit Adjusted(In $M),GT,263,463,567
Pre-Tax Profit(In $M),GT,429,654,796
Net Profit (Adjusted)(In $M),GT,413,695,824
EPS (Non-GAAP) ex. SOE(In $),GT,0.96,1.71,2.00
EPS (GAAP)(In $),GT,0.74,1.44,1.87
Gross Income(In $M),GT,"4,066","4,434","4,778"
Cash Flow from Investing(In $M),GT,"-1,020","-1,199","-1,236"
Cash Flow from Operations(In $M),GT,"1,489","1,709","1,826"
Cash Flow from Financing(In $M),GT,145,-130,-131
Cash Flow per Share(In $),GT,3.78,4.81,5.23
Free Cash Flow(In $M),GT,274,383,468
Free Cash Flow per Share(In $),GT,0.53,0.26,0.52
Book Value per Share(In $),GT,19.34,20.37,21.71
Net Debt(In $M),GT,"6,798","6,619","6,385"
Research & Development Exp.(In $M),GT,-,-,-
Capital Expenditure(In $M),GT,"1,015","1,181","1,224"
"Selling, General & Admin. Exp.(In $M)",GT,"3,016","3,130","3,402"
Shareholder’s Equity(In $M),GT,"5,469","5,833","6,296"
Total Assets(In $M),GT,"22,951","23,489","24,016"
