,ticker,2023,2024,2025,2026,2027
Revenue(In $M),HSY,"11,280","11,769","12,172","12,594","12,997"
Dividend,HSY,4.22,4.48,4.81,5.11,4.73
Dividend Yield (in %),HSY,1.80 %,1.66 %,1.96 %,-,-
EPS,HSY,9.53,10.32,11.16,11.66,12.76
P/E Ratio,HSY,28.62,26.44,24.45,23.39,21.37
EBIT(In $M),HSY,"2,664","2,823","2,956","3,068","3,231"
EBITDA(In $M),HSY,"3,079","3,263","3,437","3,551","3,758"
Net Profit(In $M),HSY,"1,951","2,099","2,219","2,322","2,480"
Net Profit Adjusted(In $M),HSY,"1,960","2,109","2,243","2,285",-
Pre-Tax Profit(In $M),HSY,"2,323","2,497","2,646","2,748","2,935"
Net Profit (Adjusted)(In $M),HSY,"2,282","2,462","2,561","2,791","2,935"
EPS (Non-GAAP) ex. SOE(In $),HSY,9.53,10.32,11.16,11.66,12.76
EPS (GAAP)(In $),HSY,9.39,10.25,10.99,11.33,-
Gross Income(In $M),HSY,"5,024","5,296","5,504","5,735",-
Cash Flow from Investing(In $M),HSY,-901,-674,-489,-502,-
Cash Flow from Operations(In $M),HSY,"2,576","2,671","2,846","2,739",-
Cash Flow from Financing(In $M),HSY,"-1,318","-1,713","-1,359","-1,457",-
Cash Flow per Share(In $),HSY,12.29,13.06,14.09,14.52,15.44
Free Cash Flow(In $M),HSY,"1,450","1,796","1,887","2,237",-
Free Cash Flow per Share(In $),HSY,8.42,9.06,10.58,11.08,-
Book Value per Share(In $),HSY,18.44,20.85,23.64,25.88,31.69
Net Debt(In $M),HSY,"4,244","3,949","3,486","3,168","2,146"
Research & Development Exp.(In $M),HSY,-,-,-,-,-
Capital Expenditure(In $M),HSY,841,682,530,529,572
"Selling, General & Admin. Exp.(In $M)",HSY,"2,364","2,482","2,575","2,686",-
Shareholder’s Equity(In $M),HSY,"3,813","4,273","4,818","5,760","6,157"
Total Assets(In $M),HSY,"11,695","12,169","13,200","14,609",-
